S? TK nh?p_Mã hàng	APP	Gemini	GAP
307933600940_U1043518	18	18	0
307933733720_U1043513	34	34	0
307933733720_U1043518	10	10	0
307933806150_U1043513	39	39	0
307933806150_U1043518	12	12	0
307933874200_U1043518	4	4	0
307933877440_U1043513	12	12	0
307933877440_U1043518	12	12	0
307934657460_U1043513	1	1	0
307936104030_4564023	3	3	0
307936528010_U1043513	3	3	0
307936528010_U1043515	11	11	0
307936528010_U1043518	1	1	0
307936638460_U1043515	8	8	0
307936683630_B844-93W9	5	5	0
307936834350_4564023	4	4	0
307940095210_2990617	2	2	0
307940603260_B814-51SW1	4	4	0
307941321350_2990621	1	1	0
307942178410_4390238	1	1	0
307942902540_D250-02	8	8	0
307945041630_T747-3	22	22	0
307946405820_2990666	2	2	0
307946828030_T756-3	5	5	0
307946905140_B401-81W1	2	2	0
307947139900_B476-65	3	3	0
307947139900_B476-99	3	3	0
307947420230_B476-98	14	14	0
307947532600_B476-98	25	25	0
307948518050_W5776-20	6	6	0
307950094710_4564014	1	1	0
307950096000_4564014	1	1	0
307950133060_B476-31	3	3	0
307950133060_B476-65	17	17	0
307950133060_B476-69	3	3	0
307950133060_B5822-31	1	1	0
307950133060_B5822-97W1	1	1	0
307950141130_B476-88	10	10	0
307953524010_4390235	1	1	0
307953674840_4390235	3	3	0
307953689210_4390235	2	2	0
307953755450_4390235	2	2	0
307953758250_7741264	7	7	0
307953771220_7741246	4	4	0
307953771220_7741265	7	7	0
307953774500_7741246	2	2	0
307953774500_7741277	6	6	0
307953776230_7741246	2	2	0
307953776600_2000535	4	4	0
307953778700_7189838	4	4	0
307953784960_7741277	1	1	0
307953820330_2000538	5	5	0
307954205220_7741223	1	1	0
307954205220_7741238	1	1	0
307955783130_7741223	1	1	0
307956576450_7741238	1	1	0
307957489250_7741223	4	4	0
307957489250_7741238	3	3	0
307957602650_2000535	1	1	0
307959855840_7741238	1	1	0
307961923640_4564023	7	7	0
307962101220_4260735	6	6	0
307962126310_4564023	2	2	0
307962180800_B401-81W1	16	16	0
307962180800_B401-82W1	3	3	0
307962493110_U7531115	1	1	0
307965145850_B824-97W1	1	1	0
307967607750_B795-31	4	4	0
307967607750_B795-46	1	1	0
307967607750_B795-54	2	2	0
307970753330_9820117	1	1	0
307971068700_9820166	2	2	0
307971831440_P783-701	1	1	0
307974531600_T193-13	42	42	0
307975466430_D795-60	2	2	0
307975884440_9950364	1	1	0
307977016820_B685-52S	2	2	0
307978805320_9950346	2	2	0
307978805320_9950365	1	1	0
307978805320_9950377	1	1	0
307983636610_B622-92W9	3	3	0
307983636610_B795-36	3	3	0
307986603320_5940417	1	1	0
307991312700_9820117	1	1	0
307993177830_B895-54W1	1	1	0
307993177830_B895-57	1	1	0
307996089610_U5950415	2	2	0
307997202240_B401-81W1	8	8	0
307997503020_5230467	1	1	0
307997707860_B633-92W9	1	1	0
308002550610_U5950418	1	1	0
308009047750_EB2320-291	2	2	0
308009047750_M40641W2	2	2	0
308009047750_M96511US	14	14	0
308009047750_M96521US	1	1	0
308009047750_M96531W2	1	1	0
308015399920_B733-94	1	1	0
308015674060_B751-94	2	2	0
308016169550_4564014	2	2	0
308016236530_4564014	2	2	0
308017837910_P783-701	1	1	0
308017961660_B895-93	1	1	0
308018616160_B833-57	1	1	0
308021794420_B824-97W1	3	3	0
308021804660_B824-57W1	3	3	0
308022781160_B895-58	7	7	0
308022942200_B895-46	2	2	0
308024243240_B821-36	2	2	0
308024286310_B821-58	1	1	0
308035948900_B824-97W1	2	2	0
308036254910_4564014	3	3	0
308036934720_B779-94	8	8	0
308037781940_B971-93	2	2	0
308037781940_B971-93W9	2	2	0
308040295750_D594-42	1	1	0
308040295750_D602-32	9	9	0
308040610640_1020146	7	7	0
308041007210_1020146	2	2	0
308041584450_3290338	3	3	0
308041679320_1020146	2	2	0
308041728320_3290338	1	1	0
308041767740_3290338	1	1	0
308041844630_3290320	1	1	0
308043961540_1020146	16	16	0
308044369860_B618-31	3	3	0
308044387620_4564035	3	3	0
308044623740_4564035	2	2	0
308045153200_1020146	20	20	0
308045153200_1020265	5	5	0
308045303550_4564035	5	5	0
308045502350_1020146	1	1	0
308045506110_1020146	1	1	0
308045506110_1020265	1	1	0
308045511600_1020246	2	2	0
308046082210_1020246	2	2	0
308046399860_B895-56	4	4	0
308046635100_B821-31	3	3	0
308046635100_B821-54	1	1	0
308046635100_B821-57	1	1	0
308046635100_B821-94	3	3	0
308046934700_1020246	2	2	0
308050881630_D787-35	7	7	0
308053776940_B5702-97	5	5	0
308054710960_T632-2	1	1	0
308055870160_A1000918	2	2	0
308060479700_5270576	1	1	0
308063573810_B733-94	1	1	0
308063917140_D496-01	14	14	0
308063917140_T669-4	1	1	0
308066522210_B980-36	3	3	0
308066570140_B980-54W1	6	6	0
308066570140_B980-56W1	2	2	0
308066570140_B980-97W1	5	5	0
308066831830_B694-93	2	2	0
308066831830_B694-97W1	2	2	0
308068297300_5270549	1	1	0
308069596020_B980-56	1	1	0
308069596020_B980-58	4	4	0
308071209520_B857-36	5	5	0
308071209520_B857-61	12	12	0
308071226540_B857-71	19	19	0
308075006320_B751-36	4	4	0
308075006320_B771-194	3	3	0
308076774040_H687-01A	1	1	0
308077028730_B5702-81	7	7	0
308077028730_B5702-82	10	10	0
308077028730_B5702-82W1	3	3	0
308077028730_B5702-97	19	19	0
308077028730_B5705-81	7	7	0
308080867200_7260067	1	1	0
308080914650_B694-82W1	4	4	0
308080914650_B694-93W9	2	2	0
308080914650_B694-97W1	5	5	0
308081230720_B743-194	1	1	0
308081607320_B618-31	1	1	0
308081607320_B618-54	1	1	0
308081607320_B618-56	3	3	0
308082459550_B824-57W1	8	8	0
308082459550_B824-58W1	2	2	0
308082932900_D5830-25	17	17	0
308082932900_D795-60	11	11	0
308086329260_P587-821	6	6	0
308086527730_B857-36	19	19	0
308086591100_B971-156W1	1	1	0
308086591100_B971-158W1	1	1	0
308087394920_9220608	1	1	0
308090287060_B857-97	24	24	0
308090328510_B857-54	1	1	0
308090328510_B857-56	8	8	0
308090344830_B857-57	5	5	0
308090344830_B857-58	5	5	0
308091868730_1067051	1	1	0
308091931030_9820116	2	2	0
308091931030_9820134	2	2	0
308092588220_9820116	1	1	0
308092588220_9820134	4	4	0
308092697200_1067051	1	1	0
308093462040_9820116	1	1	0
308094231560_3260435	5	5	0
308094352810_1067051	2	2	0
308094486400_B824-56W1	2	2	0
308094486400_B824-97W1	16	16	0
308094521730_B751-93W9	1	1	0
308095570220_3260420	6	6	0
308095593800_4820235	5	5	0
308095594500_4820238	1	1	0
308095596560_4820220	10	10	0
308095601240_4820220	1	1	0
308097825030_B479-74S	2	2	0
308097998260_T5827-22	15	15	0
308099167630_B697-196W1	1	1	0
308099305750_B857-62	5	5	0
308099317800_B751-93W9	1	1	0
308099641160_B2617-156	1	1	0
308100278530_4260718	7	7	0
308101093220_B2614-157W1	1	1	0
308101093220_B2618-156	4	4	0
308101093220_B2618-31W1	3	3	0
308101093220_B2618-46W1	4	4	0
308101093220_B2618-54W1	1	1	0
308102156520_B480-56	2	2	0
308105382230_B683-81	1	1	0
308105741440_B733-94	5	5	0
308106258040_5940455	1	1	0
308106901930_6650225	1	1	0
308106927830_4080409	1	1	0
308107054200_5940477	1	1	0
308107599500_2700435	2	2	0
308107599500_4080409	2	2	0
308107721410_B683-97	1	1	0
308107721410_B685-186	2	2	0
308107721410_B685-84S	1	1	0
308107721410_B685-99	11	11	0
308109044150_2270457	3	3	0
308110192040_T734-17	3	3	0
308110290520_B751-54	8	8	0
308110290520_B751-56	3	3	0
308110290520_B751-96	14	14	0
308110290520_B751-97	1	1	0
308110515660_P783-702	1	1	0
308110809440_9820167	2	2	0
308110986430_9820167	1	1	0
308111007320_9820167	1	1	0
308111038820_4400135	1	1	0
308111133210_4400135	3	3	0
308111137740_4400135	1	1	0
308111143120_4400138	6	6	0
308111148350_4400120	4	4	0
308112776000_T747-4	3	3	0
308113068450_B694-36	2	2	0
308113068450_B694-81W1	4	4	0
308113068450_B694-97W1	1	1	0
308113182440_B857-51	11	11	0
308113308220_B779-96W1	1	1	0
308113448700_B857-72	4	4	0
308113497920_B857-36	20	20	0
308113497920_B857-46	18	18	0
308114647210_2270446	3	3	0
308114647210_2270477	3	3	0
308114647210_5940446	1	1	0
308116159210_4820238	1	1	0
308116163410_4820220	1	1	0
308116163410_4820235	2	2	0
308116990700_T609-1	19	19	0
308117478450_B2618-46W1	2	2	0
308119334040_D821-02A	40	40	0
308119970230_D5830-01	10	10	0
308120777220_T747-3	4	4	0
308120840550_B618-54	1	1	0
308121153710_7260067	1	1	0
308121290430_5270575	7	7	0
308122527920_6130577	1	1	0
308122528510_6130546	3	3	0
308122531420_6130546	1	1	0
308122531420_6130564	2	2	0
308122531420_6130565	2	2	0
308122531530_6130577	1	1	0
308122810830_P228-124	3	3	0
308123834450_B5702-81	2	2	0
308123834450_B5702-97	5	5	0
308123834450_B5705-81	6	6	0
308123834450_B5705-82	11	11	0
308123834450_B5705-97	21	21	0
308123894760_4660425	1	1	0
308125967940_R58739	1	1	0
308127270200_B895-54W1	1	1	0
308128356230_B795-93	5	5	0
308128921720_5270548	7	7	0
308129293420_7260016	1	1	0
308129334460_D787-35	1	1	0
308132408530_B769-36	9	9	0
308134859230_M20611US	2	2	0
308138921110_B622-31	20	20	0
308138947710_B622-31	12	12	0
308139077060_B814-72W1	2	2	0
308139275900_B480-92	4	4	0
308141066500_D821-02A	30	30	0
308144099450_B5702-97	3	3	0
308144642430_B779-56W1	4	4	0
308144642430_B779-96W1	2	2	0
308145723930_B947-93W9	2	2	0
308147693140_D5830-25	7	7	0
308148541800_P211-613	6	6	0
308148623330_D606-01	10	10	0
308149768530_B683-92	1	1	0
308150763600_B824-56W1	1	1	0
308150763600_B824-58W1	1	1	0
308150763600_B824-97W1	13	13	0
308150763600_B856-82	1	1	0
308151369760_5370238	1	1	0
308151689920_B618-56	1	1	0
308151689920_T747-3	8	8	0
308153050500_5370235	1	1	0
308154907600_D602-32	3	3	0
308154907600_T5827-22	22	22	0
308154908630_T617-3	2	2	0
308159723230_M40641W2	7	7	0
308160909360_B622-31	23	23	0
308160909360_B622-54	5	5	0
308160909360_B622-56	8	8	0
308160909360_B622-92	1	1	0
308161145850_B622-31	14	14	0
308161145850_B622-36	47	47	0
308161145850_B622-54	2	2	0
308161145850_B622-56	31	31	0
308161145850_B622-58	23	23	0
308161145850_B622-92W9	3	3	0
308161448360_B5702-81	1	1	0
308161448360_B5702-82W1	1	1	0
308161448360_B5705-97	7	7	0
308161623140_4820220	2	2	0
308161915740_6810511	29	29	0
308161978630_A3000741	5	5	0
308162181260_B779-56W1	1	1	0
308162181260_B779-96W1	1	1	0
308162348120_D486-00	2	2	0
308162382420_T5827-2	18	18	0
308162758060_B954-76W1	6	6	0
308162758060_B954-78W1	9	9	0
308162758060_D250-01	8	8	0
308162758060_D250-02	16	16	0
308162898430_D773-60	5	5	0
308163586860_B785-94	12	12	0
308163586860_T5823-6	5	5	0
308163967110_U1143325	1	1	0
308164007450_U1143388	1	1	0
308165090610_B401-81W1	6	6	0
308165090610_B401-82W1	30	30	0
308165545610_B685-54S	1	1	0
308165545610_B685-56S	5	5	0
308165776460_B814-99	1	1	0
308167595800_B697-94	1	1	0
308167659240_B751-31	18	18	0
308167659240_B751-46	1	1	0
308167659240_B751-54	10	10	0
308167659240_B751-57	12	12	0
308167659240_B751-58	10	10	0
308167662040_B751-56W1	4	4	0
308167662040_B751-58W1	5	5	0
308167662040_B751-96W1	5	5	0
308167796920_D496-01	40	40	0
308167870900_B697-196W1	2	2	0
308170739350_P465-625	27	27	0
308170776930_P228-642	2	2	0
308171126710_D821-60	4	4	0
308171150400_B618-31	2	2	0
308171250500_D651-09	1	1	0
308171250500_D651-32	1	1	0
308171283360_T617-3	1	1	0
308171693600_B687-53	1	1	0
308172874830_4949923	1	1	0
308174306220_U8283318	1	1	0
308174751050_B822-01	1	1	0
308174751050_B822-22	12	12	0
308174751050_B822-25	10	10	0
308174751050_B822-36	2	2	0
308175905460_B821-91	2	2	0
308176833110_3377121	1	1	0
308177975950_B685-94	3	3	0
308178877110_B824-57W1	11	11	0
308178877110_B824-93W9	14	14	0
308178877110_B824-97W1	13	13	0
308178898660_B824-56W1	9	9	0
308178898660_B824-58W1	12	12	0
308178898660_B856-50	1	1	0
308184068050_B5702-81	1	1	0
308184068050_B5702-82W1	1	1	0
308184079510_T193-13	50	50	0
308184228021_B694-97W1	1	1	0
308184242940_T193-13	52	52	0
308184268840_B751-36	15	15	0
308184268840_B751-97W1	1	1	0
308184500910_B833-57W1	1	1	0
308184500910_B833-58W1	1	1	0
308185679710_B2617-172W1	1	1	0
308185679710_B2617-258W1	1	1	0
308185679710_EB1221-163	1	1	0
308185679710_EB4121-231	1	1	0
308185825160_5810364	2	2	0
308185981520_D651-124	2	2	0
308186605220_D5168-25	4	4	0
308186605220_D5168-60	1	1	0
308188020030_B480-58	5	5	0
308188721910_B857-56W1	7	7	0
308188721910_B857-58W1	7	7	0
308188721910_B857-97W1	10	10	0
308188907520_9270646	1	1	0
308188918240_A3000709	14	14	0
308189265700_B680-97W1	3	3	0
308189265700_B683-31	1	1	0
308189854730_B401-81W1	20	20	0
308189854730_B401-82W1	21	21	0
308190828650_U7531114	3	3	0
308191288550_B779-56W1	2	2	0
308191288550_B779-96W1	1	1	0
308191740420_T596-1	3	3	0
308195018520_T5829-2	15	15	0
308195290230_B954-54W1	2	2	0
308195290230_B954-56W1	1	1	0
308195290230_B954-58W1	1	1	0
308196665840_P227-632	1	1	0
308196665840_P228-124	1	1	0
308196777840_P465-820	17	17	0
308196777840_P465-822	12	12	0
308197037100_B733-95	1	1	0
308197037100_T747-3	2	2	0
308197793100_3487014	3	3	0
308197866930_9920146	2	2	0
308201908030_D694-01	4	4	0
308201908030_D694-60	2	2	0
308202348700_9920157	2	2	0
308205990100_B611-95	1	1	0
308206867860_9920131	12	12	0
308207064930_9920162	3	3	0
308207101920_9920162	7	7	0
308207107520_9920158	11	11	0
308210160440_T757-3	1	1	0
308210160440_T757-9	2	2	0
308211052500_R79751	1	1	0
308214367440_9940376	1	1	0
308215643911_D821-01	52	52	0
308216671730_B480-92	9	9	0
308217139000_M88805	8	8	0
308217273360_R80993	2	2	0
308217962640_B618-54	3	3	0
308218186530_W5168-20	1	1	0
308218996100_9270677	1	1	0
308219002730_3200520	2	2	0
308219938740_D821-01	40	40	0
308222038300_9940334	1	1	0
308223141500_9940334	1	1	0
308225005450_B949-54S	1	1	0
308225060860_B769-36	1	1	0
308227529210_9940376	3	3	0
308227556620_9270646	3	3	0
308228340730_4260511	2	2	0
308228340730_4260520	1	1	0
308228340730_4260738	4	4	0
308228340730_A3000638	1	1	0
308229497240_T5826-2	20	20	0
308229831250_9940317	1	1	0
308230168060_9270677	1	1	0
308230494410_U1143025	1	1	0
308230598450_B777-157	1	1	0
308232241460_U1143025	19	19	0
308232251150_9414021	2	2	0
308232251150_9940317	1	1	0
308232306230_U1143388	1	1	0
308234500140_9920131	14	14	0
308234561960_T734-3	16	16	0
308234596040_B401-81W1	30	30	0
308235076940_B833-46	2	2	0
308235076940_B833-92	1	1	0
308235127450_B833-31	3	3	0
308235229430_A4000706	1	1	0
308235927440_B5702-82W1	1	1	0
308235927440_B5705-82W1	1	1	0
308237070060_U1143394	1	1	0
308237159660_1640525	16	16	0
308237638130_B2617-58	1	1	0
308237638130_M30331W2	1	1	0
308237715720_T734-3	4	4	0
308238140250_1640525	4	4	0
308238260430_9270646	1	1	0
308239957340_5810346	5	5	0
308240116240_9220634	1	1	0
308240615820_7741138	1	1	0
308240620240_7741138	1	1	0
308241106300_7741138	5	5	0
308241738840_100-17	101	101	0
308241894610_B944-54W1	5	5	0
308241956100_7741138	1	1	0
308241999460_B954-93W9	4	4	0
308243930540_B777-157	3	3	0
308244235410_B618-97	4	4	0
308244321250_B733-95	2	2	0
308244418000_B779-56W1	1	1	0
308244418000_B779-96W1	1	1	0
308244671840_B480-174S	1	1	0
308244671840_B480-176S	3	3	0
308244671840_B480-197	5	5	0
308244671840_B480-56	2	2	0
308244671840_B480-57	3	3	0
308244671840_B480-58	4	4	0
308244671840_B480-77	1	1	0
308244671840_T5823-6	3	3	0
308244970850_P011-827	8	8	0
308244970850_P211-613	1	1	0
308245023940_P465-820	20	20	0
308245023940_P465-822	24	24	0
308245150420_4467038	2	2	0
308245162320_P465-822	7	7	0
308246478320_4467038	17	17	0
308246600450_3054055	4	4	0
308247312940_3054056	5	5	0
308247312940_3054076	1	1	0
308248253850_5010113	1	1	0
308248297250_B822-31	1	1	0
308248414300_4467038	1	1	0
308249184740_3054077	4	4	0
308249184740_9220616	1	1	0
308249753620_4467038	1	1	0
308250229950_3054046	3	3	0
308250229950_3054077	2	2	0
308250334400_3054077	5	5	0
308250334400_7741108	5	5	0
308250377100_9920158	1	1	0
308250385460_9920158	12	12	0
308250385460_9920162	10	10	0
308250418030_3054056	4	4	0
308250418030_7741108	5	5	0
308250422340_7741108	1	1	0
308250426910_9920162	7	7	0
308250443450_3054034	1	1	0
308250459810_3054034	2	2	0
308250462020_3200520	2	2	0
308250544140_B857-54W1	1	1	0
308250544140_B857-56W1	2	2	0
308250544140_B857-58W1	1	1	0
308250544140_B857-97W1	26	26	0
308254899060_9920162	1	1	0
308254993230_B5702-81	9	9	0
308254993230_B5702-82	2	2	0
308254993230_B5702-82W1	2	2	0
308254993230_B5702-97	16	16	0
308254993230_B5705-82	2	2	0
308254993230_B5705-82W1	3	3	0
308254993230_B5705-97	24	24	0
308254995920_5010115	5	5	0
308255007340_5010115	1	1	0
308255433310_5740467	1	1	0
308256313650_4020709	13	13	0
308256405460_4020709	9	9	0
308256529730_3054075	1	1	0
308256529730_3054076	1	1	0
308256947960_4020709	4	4	0
308261041450_1810214	1	1	0
308261234800_4467023	4	4	0
308261236750_4467023	4	4	0
308261236750_4467038	2	2	0
308261523310_9940308	1	1	0
308263575120_U6450618	1	1	0
308263658750_9270619	2	2	0
308264905450_2030565	8	8	0
308266980140_1940366	25	25	0
308267576430_1940366	2	2	0
308267576430_1940367	19	19	0
308268057220_1940367	7	7	0
308268057220_5960308	2	2	0
308268155700_U5953113	1	1	0
308268155700_U6450615	1	1	0
308268179020_3310414	1	1	0
308268475450_1940367	1	1	0
308268475450_5960308	3	3	0
308268722440_D394-25	4	4	0
308269839640_2030577	2	2	0
308269934510_9270640	3	3	0
308269934510_9270641	1	1	0
308270285430_1940377	27	27	0
308270548850_3240267	4	4	0
308270609310_3240234	4	4	0
308271573760_2990666	2	2	0
308271573760_3240216	2	2	0
308271640300_3310420	3	3	0
308271704220_8254038	20	20	0
308271724300_4467023	4	4	0
308271724300_9454021	1	1	0
308271730120_4467035	2	2	0
308271736530_4467038	4	4	0
308271744930_2990667	2	2	0
308271750530_8254021	2	2	0
308271754620_8254021	20	20	0
308271901360_3240216	2	2	0
308271995200_2990616	2	2	0
308271995200_2990617	2	2	0
308271995200_4467035	1	1	0
308271995200_4467038	1	1	0
308271995200_8254021	10	10	0
308272045340_8254038	5	5	0
308272171450_8254021	2	2	0
308272590900_8254021	11	11	0
308273177500_2810525	1	1	0
308274564050_3977177	4	4	0
308274894600_D787-01	1	1	0
308274894600_D787-02	2	2	0
308275112040_6360588	3	3	0
308275680700_6360588	3	3	0
308275714960_3977177	1	1	0
308275714960_9530203	3	3	0
308275880200_2990621	1	1	0
308275880200_8254038	1	1	0
308275962650_8254021	13	13	0
308275987850_6360594	2	2	0
308276898110_4840525	2	2	0
308277445400_B769-36	2	2	0
308277445400_B822-01	1	1	0
308277445400_B822-54S	1	1	0
308277485740_B824-57W1	5	5	0
308277485740_B824-58W1	8	8	0
308277485740_B824-93W9	5	5	0
308277485740_B824-97W1	5	5	0
308277485740_B856-36	1	1	0
308278932750_1940346	18	18	0
308279112540_4467038	1	1	0
308279182760_U6583182	1	1	0
308279914150_1940346	9	9	0
308279973060_A4000374	1	1	0
308279973060_B824-56W1	11	11	0
308280414540_4840525	1	1	0
308281395130_B764-97W1	1	1	0
308282710910_1940366	10	10	0
308282845050_1940366	2	2	0
308282854630_1940367	15	15	0
308282854740_1940367	1	1	0
308282854850_1940367	9	9	0
308282855330_1940366	9	9	0
308282855330_1940367	6	6	0
308282855700_1940367	4	4	0
308282857320_1940366	16	16	0
308283180500_7510546	4	4	0
308283259710_3240267	9	9	0
308283304140_3240267	2	2	0
308283729630_6810511	18	18	0
308284284510_T575-12	1	1	0
308284495060_1940367	2	2	0
308284627620_5740467	1	1	0
308284627620_6270316	2	2	0
308284949030_T5829-2	2	2	0
308285021460_8254021	6	6	0
308285021460_9454021	6	6	0
308285030230_B779-56W1	1	1	0
308285030230_B779-96W1	1	1	0
308285275560_8254021	2	2	0
308285344750_8614038	4	4	0
308285601910_T5827-2	4	4	0
308285607620_T188-13	2	2	0
308285607620_T438-1	1	1	0
308285607620_T438-3	1	1	0
308285607620_T647-4	2	2	0
308285909540_2520620	2	2	0
308286439920_B733-95	3	3	0
308286679650_9454021	1	1	0
308286732260_8254021	28	28	0
308286870310_8254038	7	7	0
308286942040_8254038	7	7	0
308286968160_8254021	20	20	0
308286968160_8254038	7	7	0
308286968750_8254021	10	10	0
308286969560_8254038	21	21	0
308286976600_8254021	10	10	0
308286976930_8254021	9	9	0
308286976930_8254038	3	3	0
308286977260_8254038	14	14	0
308286978000_1940377	18	18	0
308286978330_1940377	4	4	0
308286980100_1940377	10	10	0
308286980430_2030577	4	4	0
308286980430_8254038	13	13	0
308286984040_1940346	20	20	0
308286984040_1940377	5	5	0
308286985810_U8283213	1	1	0
308286986400_1940346	6	6	0
308286986950_1940346	3	3	0
308286990230_3240216	4	4	0
308287056730_3240216	4	4	0
308287056730_9270677	1	1	0
308287114350_3240216	3	3	0
308287486200_D388-423	19	19	0
308287560400_D394-01	68	68	0
308288364660_1810214	1	1	0
308288738720_1380594	3	3	0
308288878940_T596-2	4	4	0
308289160710_D781-01	100	100	0
308289403020_9530216	3	3	0
308289551860_P211-130	5	5	0
308289551860_P211-613	20	20	0
308289646360_P465-625	8	8	0
308289646360_P465-822	20	20	0
308289646360_P798-602A	5	5	0
308289646360_P798-814	11	11	0
308289769010_2030565	2	2	0
308289974660_B857-54	20	20	0
308289974660_B857-56	18	18	0
308290002330_B857-57	17	17	0
308290002330_B857-58	17	17	0
308290505850_2030564	5	5	0
308290527440_3977134	3	3	0
308290527440_7260034	1	1	0
308290554630_3977146	8	8	0
308290554630_3977155	6	6	0
308290554630_3977156	1	1	0
308290562330_3977156	2	2	0
308290656240_3240234	11	11	0
308290894020_2210319	3	3	0
308290894020_6270308	1	1	0
308291213660_T756-3	5	5	0
308291213660_T756-7	3	3	0
308291580830_U4380987	1	1	0
308291688410_D394-25	10	10	0
308293065160_D764-01	20	20	0
308293084430_4949938	1	1	0
308293369920_7260067	1	1	0
308294053820_P510-706	1	1	0
308294053820_P510-708	1	1	0
308294053820_P510-821	1	1	0
308294053820_P510-835	6	6	0
308294053820_P510-838	1	1	0
308294304160_3977108	1	1	0
308294312450_6270303	1	1	0
308294312450_6680448	1	1	0
308294317240_8254055	8	8	0
308294319120_8254055	4	4	0
308294319450_8254038	2	2	0
308294319450_8254055	6	6	0
308294319600_3310438	2	2	0
308294321110_8254055	15	15	0
308294321330_8254055	2	2	0
308294321330_8254056	5	5	0
308294321700_8254055	6	6	0
308294321700_8254056	4	4	0
308294322250_8254056	21	21	0
308294964150_B743-56W1	5	5	0
308295166820_D821-01	82	82	0
308295365360_B743-94	3	3	0
308295394540_8254056	3	3	0
308295662750_D822-01	22	22	0
308296529720_2510246	1	1	0
308296529720_3054046351	1	1	0
308296529720_3054055351	1	1	0
308296529720_3054056351	1	1	0
308296529720_8254056	8	8	0
308296982510_B857-97	21	21	0
308298327430_9270641	2	2	0
308298331260_3990425	1	1	0
308298331740_3054046	2	2	0
308300149530_4467038	7	7	0
308300498460_4030617030	1	1	0
308300498460_403X617281	1	1	0
308300498460_5230466084	1	1	0
308300498460_726X067140	1	1	0
308300498460_A1000917	2	2	0
308301498800_4467038	1	1	0
308301502960_B480-176S	2	2	0
308301502960_B480-58	1	1	0
308301502960_H632-70	1	1	0
308301502960_T609-3	6	6	0
308301502960_T609-4	4	4	0
308302086540_2530246	2	2	0
308302395240_3200535	1	1	0
308302408800_5710238	3	3	0
308302409020_5710235	9	9	0
308302624950_D401-15	4	4	0
308302624950_D401-223	7	7	0
308302748150_3200538	1	1	0
308303501720_D984-35	32	32	0
308303803860_A1000917	9	9	0
308303803860_EB1221-163	1	1	0
308303803860_EB1221-182	1	1	0
308303803860_EB3392-157	1	1	0
308303803860_EB4121-191	1	1	0
308303803860_EB4121-231	1	1	0
308303803860_EB4121-245	1	1	0
308303803860_EB4121-291	2	2	0
308303803860_EW0200-124	1	1	0
308303841330_3054055030	1	1	0
308303841330_3054055130	1	1	0
308303841330_3054056230	1	1	0
308303841330_3054077351	1	1	0
308304180610_5510418	1	1	0
308304180610_B2614-57	2	2	0
308304180610_B2614-58	2	2	0
308304180610_B5702-81	2	2	0
308304180610_B5702-82	1	1	0
308304180610_B5702-82W1	5	5	0
308304180610_B5705-82	3	3	0
308304180610_B5705-82W1	11	11	0
308304180610_B5705-97	15	15	0
308305075650_6820765	2	2	0
308305164440_6820765	13	13	0
308305220440_6820765	6	6	0
308305482720_6820764	22	22	0
308305719060_A3000699	3	3	0
308306144920_8230531	2	2	0
308306236140_B985-93W9	68	68	0
308306236140_B985-97W1	71	71	0
308306723120_8230562	2	2	0
308306990630_D607-225	2	2	0
308306990630_D689-01	38	38	0
308306990630_D689-50	3	3	0
308307530000_3977155	4	4	0
308307530000_3977156	2	2	0
308307530000_5940456	1	1	0
308308103740_B857-56W1	1	1	0
308308958700_8230558	2	2	0
308308965550_4467009	2	2	0
308309002910_2660709	3	3	0
308309005120_6820777	23	23	0
308309015250_3977134	2	2	0
308309015400_1700439	1	1	0
308309015400_3977134	3	3	0
308309015400_3977146	4	4	0
308309015400_5560439	1	1	0
308309018310_2700423	2	2	0
308309019820_2700423	7	7	0
308309021660_3977146	1	1	0
308309070220_5590339	2	2	0
308309253400_2170839	1	1	0
308309257560_6820777	1	1	0
308309257560_8721310	1	1	0
308309509930_D384-223	24	24	0
308309617620_T686-7	4	4	0
308309617620_T686-9	5	5	0
308309669640_P011-827	20	20	0
308309669640_P111-835	14	14	0
308309669640_P114-835	3	3	0
308309669640_P227-124	1	1	0
308309764510_P798-602A	3	3	0
308310581150_1130448	27	27	0
308310640430_6820716	2	2	0
308310841000_1130448	12	12	0
308310847410_5550339	1	1	0
308310847410_8230577	1	1	0
308310993120_6820716	6	6	0
308311004210_4860214	1	1	0
308311253040_T175-4	5	5	0
308311332510_B777-158	2	2	0
308311751330_3054046030	1	1	0
308311751330_3054055030	1	1	0
308311751330_3054077030	1	1	0
308311903010_1130449	5	5	0
308312140640_6820716	1	1	0
308312140640_6820717	5	5	0
308312544320_1130416	4	4	0
308312680600_6820717	5	5	0
308312796650_1130416	19	19	0
308312796650_1130449	9	9	0
308312821040_1130416	4	4	0
308312821040_1130449	1	1	0
308312875530_2660721	6	6	0
308312875530_6270369	1	1	0
308312875530_6270370	1	1	0
308312875530_6820711	7	7	0
308312881940_1130416	7	7	0
308312881940_5610348	3	3	0
308312882310_6270317	1	1	0
308312882310_6820711	5	5	0
308312885810_5610311	3	3	0
308313712950_1130446	9	9	0
308313712950_U5953013	1	1	0
308314337020_1130446	2	2	0
308314641960_1130417	4	4	0
308314641960_5610356	3	3	0
308315460150_1130417	9	9	0
308315783330_1130417	6	6	0
308315931840_D634-124	4	4	0
308315937700_B985-54W1	15	15	0
308315937700_B985-56W1	30	30	0
