Location,Disabled,Reason,Date,Unnamed: 4
A3017LU3,Y,Pillars,45265.0,
A3017LU4,Y,Pillars,45265.0,
A3017LU5,Y,Pillars,45265.0,
A3016KE1,Y,Pillars,45265.0,
A3016KE2,Y,Pillars,45265.0,
A3016KE3,Y,Pillars,45265.0,
A3016KE4,Y,Pillars,45265.0,
A3016KE5,Y,Pillars,45265.0,
A3016KD1,Y,Pillars,45265.0,
A3016KD2,Y,Pillars,45265.0,
A3016KD3,Y,Pillars,45265.0,
A3016KD4,Y,Pillars,45265.0,
A3016KD5,Y,Pillars,45265.0,
A3016KZ1,Y,Pillars,45265.0,
A3016KZ2,Y,Pillars,45265.0,
A3016KZ3,Y,Pillars,45265.0,
A3016KZ4,Y,Pillars,45265.0,
A3016KZ5,Y,Pillars,45265.0,
A3016MA1,Y,Pillars,45265.0,
A3016MA2,Y,Pillars,45265.0,
A3016MA3,Y,Pillars,45265.0,
A3016MA4,Y,Pillars,45265.0,
A3016MA5,Y,Pillars,45265.0,
A3017NZ1,Y,Pillars,45265.0,
A3017NZ2,Y,Pillars,45265.0,
A3017NZ3,Y,Pillars,45265.0,
A3017NZ4,Y,Pillars,45265.0,
A3017NZ5,Y,Pillars,45265.0,
A3017QA1,Y,Pillars,45265.0,
A3017QA2,Y,Pillars,45265.0,
A3017QA3,Y,Pillars,45265.0,
A3017QA4,Y,Pillars,45265.0,
A3017QA5,Y,Pillars,45265.0,
A3015MH1,Y,"Stuffs, Kim storage them temporary",45265.0,
A3015MN1,Y,Workspace,45265.0,
A3015MP1,Y,Workspace,45265.0,
A3014LN1,Y,Workspace,45265.0,
A3014LP1,Y,Workspace,45265.0,
A3013DA1,Y,Workspace,45265.0,
A3013DB1,Y,Workspace,45265.0,
A3015CR5,Y,Pillars,45265.0,
A3015CR6,Y,Pillars,45265.0,
A3015CR7,Y,Pillars,45265.0,
A3015EM6,Y,Pillars,45265.0,
A3015EM7,Y,Pillars,45265.0,
