Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,M33031W2,3,0,A,335,A3015GX6,I,46097,1,,,,,STORAGE,,,
0,M33031W2,1,0,A,335,A3015JW3,I,46111,1,,,,,STORAGE,,,
0,M33031W2,1,0,A,335,A3015NQ4,I,46097,1,,,,,STORAGE,,,
0,M33041US,1,0,A,335,A3015EC3,I,46097,1,,,,,STORAGE,,,
0,M33041US,1,0,A,335,A3015LW4,I,46088,1,,,,,STORAGE,,,
0,M33041W2,1,0,A,335,A3015CF4,I,46097,1,,,,,STORAGE,,,
0,M33041W2,11,0,A,335,A3015NM8,I,46104,1,,,,,STORAGE,,,
0,M33111US,1,0,A,335,A3010CF1,X,46097,1,,,,,STORAGE,,,
0,M33111US,1,0,A,335,A3015EZ4,I,46088,1,,,,,STORAGE,,,
0,M33111US,1,0,A,335,A3015LZ6,I,46097,1,,,,,STORAGE,,,
0,M33121US,1,0,A,335,A3015ER3,I,46088,1,,,,,STORAGE,,,
0,M33121US,5,0,A,335,A3015QK3,I,46097,1,,,,,STORAGE,,,
0,M33131W2,1,0,A,335,A3015EA4,I,46097,1,,,,,STORAGE,,,
0,M33131W2,1,0,A,335,A3015ET5,X,46088,1,,,,,STORAGE,,,
0,M33131W2,1,0,A,335,A3015GG4,I,46111,1,,,,,STORAGE,,,
0,M33131W2,5,0,A,335,A3015JU1,I,46097,1,,,,,STORAGE,,,
0,M33141US,1,0,A,335,A3015EK5,X,46097,1,,,,,STORAGE,,,
0,M33141US,1,0,A,335,A3015ER4,I,46088,1,,,,,STORAGE,,,
0,M33231W2,1,0,A,335,A3015GY5,X,46111,1,,,,,STORAGE,,,
0,M40641W2,1,0,A,335,A3015ET3,I,46097,1,,,,,STORAGE,,,
0,M40641W2,2,0,A,335,A3015HJ1,P,45964,1,,,,,STORAGE,,,
0,M40641W2,7,0,A,335,A3015LD6,I,46041,1,,,,,STORAGE,,,
0,M40741US,3,0,A,335,A3015JW2,I,46111,1,,,,,STORAGE,,,
0,M41031W2,7,0,A,335,A3015FH1,P,46097,1,,,,,STORAGE,,,
0,M41041US,3,0,A,335,A3011KE1,I,46080,1,,,,,STORAGE,,,
0,M41041US,12,0,A,335,A3015QR7,I,46097,1,,,,,STORAGE,,,
0,M41041W2,6,0,A,335,A3015ED6,I,46097,1,,,,,STORAGE,,,
0,M41041W2,2,0,A,335,A3015NR7,I,46089,1,,,,,STORAGE,,,
0,M41131W2,1,0,A,335,A3015GH4,I,46111,1,,,,,STORAGE,,,
0,M41141US,1,0,A,335,A3015EU6,I,46097,1,,,,,STORAGE,,,
0,M41141W2,2,0,A,335,A3015CT1,I,46097,1,,,,,STORAGE,,,
0,M41141W2,12,0,A,335,A3015QJ7,I,46097,1,,,,,STORAGE,,,
0,M41231W2,1,0,A,335,A3015LJ3,I,46111,1,,,,,STORAGE,,,
0,M41241US,9,0,A,335,A3015CU7,I,46104,1,,,,,STORAGE,,,
0,M41241US,4,0,A,335,A3015KN1,P,46097,1,,,,,STORAGE,,,
0,M41241W2,16,0,A,335,A3013DF1,P,46041,1,,,,,STORAGE,,,
0,M41241W2,1,0,A,335,NG001CK3,Z,46063,1,,,,,STORAGE,,,
0,M44001,10,0,A,335,A3014FE2,I,46110,1,,,,,STORAGE,,,
0,M44001,16,0,A,335,A3014HN2,I,46110,1,,,,,STORAGE,,,
0,M49741W2,2,0,A,335,A3010GK2,I,46104,1,,,,,STORAGE,,,
0,M57241W2,5,0,A,335,A3015GD6,I,46089,1,,,,,STORAGE,,,
0,M59041W2,1,0,A,335,A3015CN1,I,46097,1,,,,,STORAGE,,,
0,M5X542,1,0,A,335,A3017HQ3,I,46065,1,,,,,STORAGE,,,
0,M60X32US,11,0,A,335,A3015NW1,P,46080,1,,,,,STORAGE,,,
0,M60X32US,15,0,A,335,A3015QF7,I,46097,1,,,,,STORAGE,,,
0,M60X42US,7,0,A,335,A3017PU1,P,46089,1,,,,,STORAGE,,,
0,M60X42US,18,0,A,335,A3017RE2,I,46097,1,,,,,STORAGE,,,
0,M60X42W2,2,0,A,335,A3015QB1,P,46097,1,,,,,STORAGE,,,
0,M78X12,78,0,A,335,A3012MP1,P,46057,1,,,,,STORAGE,,,
0,M78X12,90,0,A,335,A3013ES2,I,46057,1,,,,,STORAGE,,,
0,M78X22,84,0,A,335,A3013KG3,I,46057,1,,,,,STORAGE,,,
0,M78X22,84,0,A,335,A3013KN4,I,46057,1,,,,,STORAGE,,,
0,M78X22,54,0,A,335,A3013KZ2,I,46057,1,,,,,STORAGE,,,
0,M78X22,3,0,A,335,A3017JQ1,P,46045,1,,,,,STORAGE,,,
