ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
W446-168,335,8,FA00,ZECD,5,5.6,LG TV STAND W/FIREPLACE OPTION,NO,PALLT,PAL5H,2,7,1,14,3,0,0.0,27.17,78.05,4.56,14.72,25.87,72.05,116.0,W446-168,0,736.633408,R. 1600-1700,1.0,52.616672,F. 50-60,0x2a,0.373888,0.657098,1.8300699999999999,,
2300138084F,335,0,FA00,UIRP,0,0.12,TOSS PILLOW-DARK GRAY-FILLED,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2300138084F,0,0.0,A. 0-100,,0.39462504,A. 0-10,0x2a,0.0,0.0,0.0,,
3250120RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250120RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
5770135042,335,0,FA00,UIRP,0,0.0,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5770135042,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
5770138042,335,0,FA00,UIRP,0,0.0,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5770138042,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
5820316042,335,0,FA00,UIRP,0,0.154,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248,5820316042,0,0.0,A. 0-100,,0.566082816,A. 0-10,0x2a,0.0,0.0,0.0,,
A3000006000,335,0,FA00,UIRP,0,0.0,SKIRT BLOCKS,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3000006000,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
A3000002042,335,0,FA00,UIRP,0,0.23,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,A3000002042,0,0.0,A. 0-100,,0.41730464,A. 0-10,0x2a,0.0,0.0,0.0,,
A3000006042,335,0,FA00,UIRP,0,0.063,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,A3000006042,0,0.0,A. 0-100,,0.39462504,A. 0-10,0x2a,0.0,0.0,0.0,,
A3000006060,335,0,FA00,UIRP,0,0.305,COMPLETE SKIRT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.672,A3000006060,0,0.0,A. 0-100,,1.211997824,A. 0-10,0x2a,0.0,0.0,0.0,,
5820335443,335,0,FA00,UIRP,0,0.0,SHOWOOD WELT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820335443,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
A3000006262,335,0,FA00,UIRP,0,0.87,RAF SIDE SKIRT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,A3000006262,0,0.0,A. 0-100,,0.028576296,A. 0-10,0x2a,0.0,0.0,0.0,,
5820338443,335,0,FA00,UIRP,0,0.0,SHOWOOD WELT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820338443,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
77762S1,335,0,FA00,UIRP,0,0.0,D573 B602 SFA TOP RL W/RDS/WLT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77762S1,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
U9821043090,335,0,FA00,UIRP,0,0.24,CONSOLE ARMREST,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,U9821043090,0,0.0,A. 0-100,,0.63956472,A. 0-10,0x2a,0.0,0.0,0.0,,
4390116021,335,0,FA00,UIRP,0,0.06,SEAT DECK AND FRONT BAND,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,4390116021,0,0.0,A. 0-100,,0.39462504,A. 0-10,0x2a,0.0,0.0,0.0,,
4390116030,335,0,FA00,UIRP,0,0.24,CUSHION CASING,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,4390116030,0,0.0,A. 0-100,,0.66224432,A. 0-10,0x2a,0.0,0.0,0.0,,
4390116041,335,0,FA00,UIRP,0,0.24,INSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4390116041,0,0.0,A. 0-100,,0.8164656,A. 0-10,0x2a,0.0,0.0,0.0,,
4390116042,335,0,FA00,UIRP,0,0.0,OUTSIDE BACK SEW KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390116042,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
P784-835,335,0,FA00,ZSFL,0,34.74,LOVESEAT W/CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,2.0,30.0,58.0,34.5,36.0,36.0,71.0,99.0,P784-835,0,718.489728,Q. 1500-1600,1.0,44.905608,E. 40-50,0x2a,0.9144,0.9144,1.8034,,
P784-838,335,0,FA00,ZSFL,0,38.93,SOFA WITH CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,3.0,30.25,85.13,26.13,36.0,36.0,97.38,130.0,P784-838,3,943.47136,V. 2000-2100,1.0,58.96696,F. 50-60,0x2a,0.9144,0.9144,2.473452,,
P798-601A,335,12,FA00,ZSFL,11,15.8,ARM CHAIR WITH CUSHION (2/CN),NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,26.0,28.0,37.5,24.5,36.0,25.25,47.0,P798-601A,6,341.101184,H. 700-800,1.0,21.318824,C. 20-30,A3016JV1,0.6223,0.9144,0.64135,,
P798-602A,335,8,FA00,ZSFL,1,21.37,SWIVEL CHAIR W/CUSHION (2/CN),NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,26.0,59.5,23.88,25.75,35.75,25.38,68.0,P798-602A,3,493.508096,L. 1000-1100,1.0,30.844256,D. 30-40,0x2a,0.65405,0.9080499999999999,0.644652,,
P798-625,335,4,FA00,ZSFL,4,16.85,OVAL DINING TABLE W/UMB OPT,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,46.25,81.25,7.75,42.0,28.88,80.0,88.0,P798-625,4,319.328768,H. 700-800,1.0,39.916096,D. 30-40,A3012HQ1,1.0668,0.733552,2.032,,
P798-701,335,6,FA00,ZSFL,4,8.43,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,30.25,51.38,9.38,28.0,18.0,49.88,68.0,P798-701,3,493.508096,L. 1000-1100,1.0,30.844256,D. 30-40,A3016KU1,0.7111999999999999,0.4572,1.266952,,
P798-702,335,14,FA00,ZSFL,3,3.88,SQUARE END TABLE,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,24.25,23.5,11.75,21.63,23.25,21.63,34.0,P798-702,0,246.754048,F. 500-600,1.0,15.422128,B. 10-20,A3016JR1,0.549402,0.59055,0.549402,,
P798-814,335,2,FA00,ZSFL,3,10.61,OTTOMAN WITH CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,1.0,25.13,36.5,20.0,24.5,19.0,35.13,35.0,P798-814,0,254.01152,F. 500-600,1.0,15.87572,B. 10-20,0x2a,0.6223,0.4826,0.892302,,
P798-821,335,8,FA00,ZSFL,4,19.73,SWIVEL LOUNGE W/ CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,1.0,37.0,55.0,16.75,35.0,36.0,36.38,75.0,P798-821,3,544.3104,N. 1200-1300,1.0,34.0194,D. 30-40,0x2a,0.889,0.9144,0.924052,,
P798-835,335,6,FA00,ZSFL,3,30.95,LOVESEAT W/CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,2.0,37.0,59.0,24.5,36.25,35.88,58.5,95.0,P798-835,3,689.45984,Q. 1500-1600,1.0,43.09124,E. 40-50,0x2a,0.92075,0.911352,1.4859,,
P802-600,335,0,FA00,ZSFL,0,3.7,BENCH WITH CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,16.75,56.5,6.75,14.0,19.0,54.0,40.0,P802-600,1,290.29888,G. 600-700,1.0,18.14368,B. 10-20,0x2a,0.35559999999999997,0.4826,1.3716,,
P802-601A,335,0,FA00,ZSFL,0,6.55,ARM CHAIR WITH CUSHION (2/CN),NO,PALLT,PAL5H,2,8,1,16,1,0,2.0,21.75,39.25,13.25,24.25,37.13,24.75,75.0,P802-601A,2,544.3104,N. 1200-1300,1.0,34.0194,D. 30-40,0x2a,0.61595,0.943102,0.6286499999999999,,
P802-625,335,0,FA00,ZSFL,0,8.41,RECT DINING TABLE W/UMB OPT,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,45.5,75.13,4.25,42.0,28.88,72.38,111.0,P802-625,2,805.579392,S. 1700-1800,1.0,50.348712,F. 50-60,0x2a,1.0668,0.733552,1.8384519999999998,,
P802-701,335,0,FA00,ZSFL,0,4.28,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,27.63,51.0,5.25,24.13,18.13,48.0,46.0,P802-701,4,333.843712,H. 700-800,1.0,20.865232,C. 20-30,0x2a,0.612902,0.46050199999999997,1.2191999999999998,,
P802-702,335,0,FA00,ZSFL,0,2.2,SQUARE END TABLE,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,24.75,31.5,4.88,21.5,23.13,21.38,27.0,P802-702,5,195.951744,E. 400-500,1.0,12.246984,B. 10-20,0x2a,0.5461,0.587502,0.543052,,
P802-815,335,0,FA00,ZSFL,0,12.19,CHAISE LOUNGE WITH CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,1.0,28.0,47.75,15.75,78.0,24.38,32.75,104.0,P802-815,0,754.777088,R. 1600-1700,1.0,47.173568,E. 40-50,0x2a,1.9811999999999999,0.6192519999999999,0.83185,,
A3000066,335,3,FA00,ZVMA,0,4.42,ACCENT CHAIR,NO,PALLT,PAL5H,3,2,2,12,1,0,0.0,14.38,21.75,24.75,30.13,31.25,22.0,23.0,A3000066,12,125.191392,C. 200-300,1.0,10.432616,B. 10-20,0x2a,0.7653019999999999,0.79375,0.5588,,
D542-124,335,8,FA00,ZEDF,15,3.7,UPH SWIVEL BARSTOOL (1/CN),NO,PALLT,PAL5H,2,5,1,10,1,0,0.0,22.63,36.5,7.75,19.25,36.88,19.25,33.0,D542-124,2,149.68536,D. 300-400,1.0,14.968536,B. 10-20,A3014ES1,0.48895,0.936752,0.48895,,
P802-820,335,0,FA00,ZSFL,0,14.38,LOUNGE CHAIR W/CUSHION (2/CN),NO,PALLT,PAL5H,2,8,1,16,1,0,2.0,25.88,36.25,26.5,32.5,37.0,30.0,112.0,P802-820,1,812.836864,S. 1700-1800,1.0,50.802304,F. 50-60,0x2a,0.8255,0.9398,0.762,,
B5822-56S,335,23,FA00,ZBBR,0,19.23,KING STORAGE FTBD W/ROLL SLATS,NO,PALLT,PAL5H,3,2,1,6,3,0,0.0,21.0,78.8,20.08,17.5,17.0,79.5,101.8,B5822-56S,31,277.0539936,G. 600-700,4.0,46.1756656,E. 40-50,0x2a,0.4445,0.43179999999999996,2.0193,,
D786-00,335,19,FA00,ZBDF,0,4.02,LARGE DINING ROOM BENCH,NO,PALLT,PAL5H,3,8,1,24,3,0,0.0,18.75,61.75,6.0,15.0,18.5,58.0,53.0,D786-00,10,576.969024,N. 1200-1300,1.0,24.040376,C. 20-30,0x2a,0.381,0.4699,1.4731999999999998,,
D786-25,335,90,FA00,ZBDF,4,12.53,RECTANGULAR DINING ROOM TABLE,NO,PALLT,PAL3H,1,8,1,8,5,0,0.0,42.0,75.0,6.88,39.0,30.25,72.13,156.0,D786-25,91,566.082816,N. 1200-1300,11.0,70.760352,H. 70-80,0x2a,0.9905999999999999,0.76835,1.832102,,
P802-838,335,0,FA00,ZSFL,0,24.13,SOFA WITH CUSHION,NO,PALLT,PAL5H,2,8,1,16,1,0,3.0,37.88,74.63,14.75,32.5,37.0,79.75,144.0,P802-838,4,1045.075968,W. Over 2100,1.0,65.317248,G. 60-70,0x2a,0.8255,0.9398,2.0256499999999997,,
P802-898,335,0,FA00,ZSFL,0,4.24,ADIRONDACK CHAIR,NO,PALLT,PAL5H,2,8,1,16,1,0,0.0,25.25,36.25,8.0,33.0,37.25,31.0,49.0,P802-898,3,355.616128,H. 700-800,1.0,22.226008,C. 20-30,0x2a,0.8382,0.9461499999999999,0.7874,,
T127-699,335,0,FA00,ZEOT,0,7.42,CHAIR SIDE END TABLE,NO,PALLT,,0,0,0,0,0,0,0.0,17.52,27.76,26.38,24.0,23.0,14.0,56.218,T127-699,0,0.0,A. 0-100,,25.500035056,C. 20-30,0x2a,0.6095999999999999,0.5841999999999999,0.35559999999999997,,
1240408,335,1,FA00,ZBUC,0,17.49,OVERSIZED ACCENT OTTOMAN,NO,PALLT,PAL3H,1,4,1,4,4,0,0.5,39.0,38.5,20.13,38.0,19.0,38.0,54.0,1240408,7,97.975872,C. 200-300,1.0,24.493968,C. 20-30,0x2a,0.9652,0.4826,0.9652,,
B760-56W1,335,9,FA00,ZNBM,0,15.84,K PANEL FTBD/RAILS/ROLL SLATS,NO,PALLT,PAL5H,3,2,1,6,3,0,0.0,17.13,97.83,16.34,89.29,15.98,90.86,181.0,B760-56W1,6,492.600912,L. 1000-1100,2.0,82.100152,I. 80-90,0x2a,2.267966,0.405892,2.307844,,
B760-58W1,335,9,FA00,ZNBM,0,13.19,KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,49.21,98.03,4.72,2.36,54.01,90.82,147.0,B760-58W1,6,533.424192,M. 1100-1200,1.0,66.678024,G. 60-70,0x2a,0.059944,1.371854,2.306828,,
B760-76W1,335,21,FA00,ZNBM,46,28.71,KING UPH FOOTBOARD WITH RAILS,NO,PALLT,RAILS,4,5,1,20,3,0,0.0,30.38,94.13,17.36,90.74,14.76,91.02,128.0,B760-76W1,8,1161.19552,W. Over 2100,1.0,58.059776,F. 50-60,0x2a,2.3047959999999996,0.37490399999999996,2.311908,,
B760-78W1,335,21,FA00,ZNBM,46,31.9,KING UPHOLSTERED HEADBOARD,NO,PALLT,PAL5H,1,4,1,4,3,0,0.0,49.25,95.25,11.75,14.0,48.0,92.0,195.8,B760-78W1,9,355.2532544,H. 700-800,5.0,88.8133136,I. 80-90,0x2a,0.35559999999999997,1.2191999999999998,2.3367999999999998,,
B760-92W9,335,74,FA00,ZNBM,0,11.85,TWO DRAWER NIGHT STAND,NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,21.0,30.13,32.38,17.99,29.13,27.4,96.0,B760-92W9,36,348.358656,H. 700-800,9.0,43.544832,E. 40-50,0x2a,0.45694599999999996,0.739902,0.6959599999999999,,
B280-671,335,3,FA00,ZEBR,0,5.47,TWIN METAL HDBD/FTBD/RAILS,NO,PALLT,PAL3H,1,8,1,8,4,0,0.0,36.25,45.38,5.75,80.5,49.88,44.0,52.0,B280-671,0,188.694272,E. 400-500,1.0,23.586784,C. 20-30,0x2a,2.0446999999999997,1.266952,1.1176,,
B280-672,335,3,FA00,ZEBR,0,7.09,FULL METAL HDBD/FTBD/RAILS,NO,PALLT,PAL3H,1,7,1,7,5,0,0.0,34.63,60.25,5.88,79.0,50.0,58.5,61.0,B280-672,3,193.683784,E. 400-500,1.0,27.669112,C. 20-30,A3017PQ1,2.0065999999999997,1.27,1.4859,,
B280-681,335,11,FA00,ZEBR,0,7.63,QUEEN METAL HDBD/FTBD/RAILS,NO,PALLT,PAL3H,1,7,1,7,5,0,0.0,34.88,67.25,5.63,85.25,50.0,65.25,65.0,B280-681,4,206.38436,E. 400-500,2.0,29.48348,C. 20-30,A3012DC1,2.16535,1.27,1.6573499999999999,,
B328-50,335,76,FA00,ZEBR,0,3.01,UNDER BED STORAGE,NO,PALLT,PAL5H,3,7,1,21,3,0,0.0,18.5,62.5,4.5,16.5,12.0,75.0,33.0,B328-50,0,314.339256,G. 600-700,4.0,14.968536,B. 10-20,0x2a,0.4191,0.30479999999999996,1.905,,
B328-58P,335,128,FA00,ZEBR,0,9.56,TWIN/FULL BUNK BED PANELS,NO,PALLT,PAL3H,1,8,1,8,4,0,0.0,35.0,59.0,8.0,1.75,32.5,56.25,70.0,B328-58P,0,254.01152,F. 500-600,16.0,31.75144,D. 30-40,0x2a,0.044449999999999996,0.8255,1.42875,,
B328-58R,335,130,FA00,ZEBR,0,5.97,LADDER AND BUNK BED RAILS,NO,PALLT,PAL3H,2,5,1,10,5,0,0.0,20.75,78.0,6.38,78.63,65.0,56.25,101.0,B328-58R,0,458.12792,L. 1000-1100,13.0,45.812792,E. 40-50,0x2a,1.9972019999999997,1.651,1.42875,,
B328-59,335,103,FA00,ZEBR,0,7.35,TWIN/TWIN BUNK BED W/LADDER,NO,PALLT,PAL3H,2,6,1,12,5,0,0.0,21.5,81.5,7.25,80.25,61.5,42.5,138.0,B328-59,0,751.148352,R. 1600-1700,9.0,62.595696,G. 60-70,0x2a,2.03835,1.5621,1.0795,,
B452-81,335,7,FA00,ZBBR,0,35.1,QUEEN UPH BED W/ROLL SLATS,NO,PALLT,PAL5H,1,4,1,4,3,0,0.0,49.36,76.42,16.08,92.0,46.0,72.0,182.6,B452-81,45,331.3035968,H. 700-800,2.0,82.8258992,I. 80-90,0x2a,2.3367999999999998,1.1683999999999999,1.8288,,
B452-82,335,1,FA00,ZBBR,0,41.39,KING UPH BED W/ROLL SLATS,NO,PALLT,PAL5H,1,4,1,4,3,0,0.0,49.36,90.11,16.08,92.0,46.0,84.0,198.0,B452-82,0,359.244864,H. 700-800,1.0,89.811216,I. 80-90,0x2a,2.3367999999999998,1.1683999999999999,2.1336,,
B452-94,335,0,FA00,ZBBR,0,40.13,CAL KING UPH BED W/ROLL SLATS,NO,PALLT,,0,0,0,0,0,0,0.0,49.36,87.36,16.08,96.0,46.0,84.0,198.0,B452-94,0,0.0,A. 0-100,,89.811216,I. 80-90,0x2a,2.4383999999999997,1.1683999999999999,2.1336,,
B476-31,335,2,FA00,ZEBR,3,30.19,DRESSER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,20.5,67.63,37.63,16.5,38.13,64.0,193.0,B476-31,0,525.259536,M. 1100-1200,1.0,87.543256,I. 80-90,0x2a,0.4191,0.968502,1.6256,,
B476-36,335,0,FA00,ZEBR,1,3.89,BEDROOM MIRROR,NO,PALLT,PAL3H,1,8,1,8,4,0,0.0,42.38,43.75,3.63,1.13,37.25,40.13,43.0,B476-36,4,156.035648,D. 300-400,1.0,19.504456,B. 10-20,0x2a,0.028701999999999995,0.9461499999999999,1.019302,,
B476-46,335,3,FA00,ZEBR,0,25.55,FIVE DRAWER CHEST,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,21.13,39.63,52.75,17.0,52.0,36.13,184.0,B476-46,0,500.765568,M. 1100-1200,1.0,83.460928,I. 80-90,0x2a,0.43179999999999996,1.3208,0.917702,,
B476-64,335,4,FA00,ZEBR,0,15.88,QUEEN STORAGE DRAWERS,NO,PALLT,PAL5H,2,2,1,4,1,0,0.0,20.38,41.75,32.25,17.0,13.25,39.0,86.0,B476-64,0,156.035648,D. 300-400,1.0,39.008912,D. 30-40,0x2a,0.43179999999999996,0.33654999999999996,0.9905999999999999,,
B786-54,335,2,FA00,ZBBR,0,3.38,QUEEN PANEL FOOTBOARD W/SLATS,NO,PALLT,PAL5H,3,10,1,30,3,0,0.0,16.88,69.25,5.0,2.13,17.5,63.38,39.0,B786-54,0,530.70264,M. 1100-1200,1.0,17.690088,B. 10-20,0x2a,0.054102,0.4445,1.609852,,
B786-56,335,3,FA00,ZBBR,0,3.98,K/CK PANEL FOOTBOARD W/SLATS,NO,PALLT,PAL5H,3,5,1,15,3,0,0.0,17.0,85.25,4.75,2.0,17.5,79.5,48.0,B786-56,0,326.58624,H. 700-800,1.0,21.772416,C. 20-30,0x2a,0.0508,0.4445,2.0193,,
B786-57,335,2,FA00,ZBBR,0,7.77,QUEEN PANEL HEADBOARD,NO,PALLT,PAL3H,1,10,1,10,5,0,0.0,44.0,61.0,5.0,3.0,53.0,63.38,76.0,B786-57,0,344.72992,H. 700-800,1.0,34.472992,D. 30-40,0x2a,0.07619999999999999,1.3461999999999998,1.609852,,
B786-58,335,2,FA00,ZBBR,0,9.25,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,43.5,77.38,4.75,3.0,53.0,79.25,91.0,B786-58,0,330.214976,H. 700-800,1.0,41.276872,E. 40-50,0x2a,0.07619999999999999,1.3461999999999998,2.01295,,
B786-97,335,0,FA00,ZBBR,0,2.42,QUEEN/KING PANEL RAILS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,12.0,87.0,4.0,0.75,7.63,80.38,31.0,B786-97,4,224.981632,E. 400-500,1.0,14.061352,B. 10-20,0x2a,0.019049999999999997,0.193802,2.041652,,
D422-223,335,4,FA00,ZEDF,0,16.87,DRM COUNTER TABLE SET (5/CN),NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,45.63,45.63,14.0,42.0,36.13,42.0,159.0,D422-223,58,360.60564,H. 700-800,1.0,72.121128,H. 70-80,0x2a,1.0668,0.917702,1.0668,,
D422-225,335,4,FA00,ZEDF,2,16.65,DINING ROOM TABLE SET (5/CN),NO,PALLT,PAL5H,2,2,2,8,1,0,0.0,45.75,45.75,13.75,42.0,30.13,42.0,146.0,D422-225,33,529.795456,M. 1100-1200,1.0,66.224432,G. 60-70,A3012JL1,1.0668,0.7653019999999999,1.0668,,
D422-325,335,9,FA00,ZEDF,0,19.71,DINING ROOM TABLE SET (6/CN),NO,PALLT,PAL5H,1,5,1,5,3,0,0.0,40.0,64.25,13.25,36.38,30.0,60.38,174.0,D422-325,58,394.62504,I. 800-900,2.0,78.925008,H. 70-80,A3012CM1,0.924052,0.762,1.533652,,
D425-223,335,2,FA00,ZEDF,0,16.99,DRM COUNTER TABLE SET (5/CN),NO,PALLT,PAL5H,1,5,1,5,1,0,0.0,46.0,46.0,13.88,42.0,36.25,42.0,159.0,D425-223,56,360.60564,H. 700-800,1.0,72.121128,H. 70-80,A3016GL1,1.0668,0.92075,1.0668,,
D425-225,335,42,FA00,ZEDF,2,16.77,DINING ROOM TABLE SET (5/CN),NO,PALLT,PAL5H,1,5,1,5,1,0,0.0,45.5,45.5,14.0,42.0,30.25,42.0,146.0,D425-225,42,331.12216,H. 700-800,8.0,66.224432,G. 60-70,A3012EZ1,1.0668,0.76835,1.0668,,
D425-325,335,5,FA00,ZEDF,0,21.08,DINING ROOM TABLE SET (6/CN),NO,PALLT,PAL3H,1,5,1,5,5,0,0.0,40.5,64.25,14.0,36.38,30.13,60.38,174.0,D425-325,57,394.62504,I. 800-900,1.0,78.925008,H. 70-80,A3011KU1,0.924052,0.7653019999999999,1.533652,,
D642-09,335,42,FA00,ZEDF,2,4.05,DBL COUNTER UPH BENCH (1/CN),NO,PALLT,PAL5H,3,10,1,30,1,0,0.0,20.38,51.88,6.63,17.25,24.5,48.75,35.0,D642-09,34,476.2716,L. 1000-1100,1.0,15.87572,B. 10-20,A3014ET1,0.43815,0.6223,1.2382499999999999,,
D642-124,335,246,FA00,ZEDF,8,3.3,UPHOLSTERED BARSTOOL (2/CN),NO,PALLT,PAL5H,3,5,1,26,1,2,0.0,20.5,44.0,12.63,23.0,42.0,19.88,24.5,D642-124,106,288.938104,G. 600-700,9.0,11.113004,B. 10-20,A3016LN1,0.5841999999999999,1.0668,0.504952,,
D642-32,335,47,FA00,ZEDF,2,16.66,RECT DRM COUNTER EXT TABLE,NO,PALLT,PAL5H,1,8,1,8,3,0,0.0,46.0,65.88,9.5,86.0,36.0,42.0,181.0,D642-32,46,656.801216,P. 1400-1500,6.0,82.100152,I. 80-90,A3013KH1,2.1844,0.9144,1.0668,,
D642-60,335,24,FA00,ZEDF,0,29.24,DINING ROOM SERVER,YES,PALLT,FLOOR,1,2,3,6,3,0,0.0,21.25,59.25,40.13,18.0,36.13,56.0,188.0,D642-60,21,511.651776,M. 1100-1200,4.0,85.275296,I. 80-90,0x2a,0.4572,0.917702,1.4223999999999999,,
D751-124,335,32,FA00,ZEDF,0,3.54,UPHOLSTERED BARSTOOL (2/CN),NO,PALLT,PAL5H,3,5,1,24,1,2,0.0,20.63,42.0,14.13,24.0,40.5,19.5,24.0,D751-124,116,261.268992,F. 500-600,1.0,10.886208,B. 10-20,0x2a,0.6095999999999999,1.0287,0.49529999999999996,,
D751-13,335,6,FA00,ZEDF,0,19.88,RECT DINING ROOM COUNTER TABLE,NO,PALLT,PAL5H,2,5,1,10,1,0,0.0,40.5,64.0,13.25,60.0,36.0,36.0,132.0,D751-13,21,598.74144,O. 1300-1400,1.0,59.874144,F. 50-60,0x2a,1.524,0.9144,0.9144,,
D769-01,335,118,FA00,ZBDF,40,3.76,DINING UPH SIDE CHAIR (2/CN),NO,PALLT,PAL5H,3,5,1,26,1,2,0.0,21.88,38.25,15.5,21.25,35.5,19.25,23.0,D769-01,164,271.248016,F. 500-600,5.0,10.432616,B. 10-20,A3013HZ1,0.53975,0.9017,0.48895,,
D769-35,335,18,FA00,ZBDF,5,19.1,RECT DINING ROOM EXT TABLE,NO,PALLT,PAL5H,2,3,2,12,1,0,0.0,44.5,72.38,10.25,98.0,30.13,38.5,173.0,D769-35,17,941.656992,V. 2000-2100,2.0,78.471416,H. 70-80,A3015HA1,2.4892,0.7653019999999999,0.9779,,
D769-60,335,7,FA00,ZBDF,3,12.3,DINING ROOM SERVER,NO,PALLT,FLOOR,1,2,3,6,3,0,0.0,18.88,58.5,19.25,16.0,34.0,56.13,112.0,D769-60,8,304.813824,G. 600-700,1.0,50.802304,F. 50-60,A3016GP1,0.4064,0.8635999999999999,1.425702,,
D781-00,335,14,FA00,ZBDF,3,5.22,LARGE UPH DINING ROOM BENCH,NO,PALLT,PAL3H,2,7,1,14,5,0,0.0,19.38,66.5,7.0,16.5,19.25,63.75,38.0,D781-00,0,241.310944,F. 500-600,1.0,17.236496,B. 10-20,0x2a,0.4191,0.48895,1.6192499999999999,,
D781-01,335,310,FA00,ZBDF,60,3.4,DINING UPH SIDE CHAIR (2/CN),NO,PALLT,PAL5H,3,5,1,26,1,2,0.0,21.25,41.38,13.38,24.0,39.0,18.75,22.0,D781-01,0,259.454624,F. 500-600,12.0,9.979024,A. 0-10,A3012LC1,0.6095999999999999,0.9905999999999999,0.47625,,
