ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
1140246RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140246RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1140248RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140248RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1140249RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140249RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1140255RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140255RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1140256RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140256RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1160418RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160418RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1160420RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160420RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1160618RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160618RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1160620RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160620RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
B687-36,335,0,FA00,ZEBR,0,4.23,BEDROOM MIRROR,NO,PALLT,PAL3H,0,0,0,0,4,0,0.0,42.5,43.0,4.0,1.5,38.0,38.0,42.0,B687-36,9,0.0,A. 0-100,,19.050864,B. 10-20,A3017EG1,0.038099999999999995,0.9652,0.9652,,
B687-46,335,0,FA00,ZEBR,0,25.43,FIVE DRAWER CHEST,NO,PALLT,FLOOROP,1,2,3,6,3,0,0.0,21.13,39.63,52.5,17.0,50.0,36.0,189.0,B687-46,9,514.373328,M. 1100-1200,1.0,85.728888,I. 80-90,0x2a,0.43179999999999996,1.27,0.9144,,
1160818RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160818RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
B765-31,335,0,FA00,ZNBM,1,33.34,DRESSER,NO,PALLT,FLOOR,1,1,3,3,3,0,0.0,21.0,68.38,40.13,18.13,40.13,66.0,156.0,B765-31,0,212.281056,E. 400-500,1.0,70.760352,H. 70-80,0x2a,0.46050199999999997,1.019302,1.6764,,
1160820RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160820RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
B765-56S,335,0,FA00,ZNBM,1,17.37,KING/CAL KING STORAGE FTBD,NO,PALLT,PAL5H,2,4,1,8,3,0,0.0,23.75,84.25,15.0,22.0,18.38,82.13,71.0,B765-56S,0,257.640256,F. 500-600,1.0,32.205032,D. 30-40,0x2a,0.5588,0.46685199999999993,2.086102,,
B765-58,335,13,FA00,ZNBM,1,14.17,KING/CAL KING PANEL HEADBOARD,NO,PALLT,PAL5H,1,10,1,10,3,0,0.0,5.5,86.0,51.75,3.38,68.0,83.0,109.0,B765-58,0,494.41528,L. 1000-1100,1.0,49.441528,E. 40-50,0x2a,0.085852,1.7271999999999998,2.1082,,
B765-92,335,0,FA00,ZNBM,6,10.97,TWO DRAWER NIGHT STAND,NO,PALLT,PAL5H,3,2,2,12,1,0,0.0,22.05,30.12,28.54,18.0,27.63,26.13,57.0,B765-92,0,310.256928,G. 600-700,1.0,25.854744,C. 20-30,0x2a,0.4572,0.7018019999999999,0.6637019999999999,,
B765-96,335,11,FA00,ZNBM,0,5.29,QUEEN PANEL RAILS W/ROLL SLATS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,14.25,87.0,7.38,81.0,16.25,62.75,81.0,B765-96,0,587.855232,N. 1200-1300,1.0,36.740952,D. 30-40,0x2a,2.0574,0.41275,1.59385,,
B765-97,335,1,FA00,ZNBM,0,5.23,KING PANEL RAILS W/ROLL SLATS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,14.25,87.5,7.25,80.88,16.13,78.88,93.0,B765-97,0,674.944896,P. 1400-1500,1.0,42.184056,E. 40-50,0x2a,2.0543519999999997,0.40970199999999996,2.003552,,
B814-31,335,52,FA00,ZNBM,12,34.49,DRESSER,NO,PALLT,FLOOR,1,1,3,3,3,0,0.0,21.0,64.5,44.0,18.0,43.75,62.0,214.0,B814-31,58,291.206064,G. 600-700,17.0,97.068688,K. 90-100,0x2a,0.4572,1.1112499999999998,1.5748,,
B814-36,335,26,FA00,ZNBM,13,3.63,BEDROOM MIRROR,NO,PALLT,PAL3H,1,15,1,15,4,0,0.0,36.5,43.0,4.0,1.63,33.13,40.0,40.0,B814-36,64,272.1552,G. 600-700,2.0,18.14368,B. 10-20,A3017LZ1,0.041401999999999994,0.8415020000000001,1.016,,
B814-46,335,13,FA00,ZNBM,5,33.13,FIVE DRAWER CHEST,NO,PALLT,FLOOROP,1,1,4,4,3,0,0.0,23.0,45.25,55.0,20.13,55.5,42.25,178.0,B814-46,12,322.957504,H. 700-800,3.0,80.739376,I. 80-90,0x2a,0.5113019999999999,1.4097,1.07315,,
B814-48,335,22,FA00,ZNBM,1,30.19,DOOR CHEST,NO,PALLT,FLOOROP,1,1,4,4,3,0,0.0,23.0,47.25,48.0,20.0,57.13,44.63,190.0,B814-48,5,344.72992,H. 700-800,6.0,86.18248,I. 80-90,0x2a,0.508,1.4511020000000001,1.133602,,
B814-50S,335,29,FA00,ZNBM,0,16.3,QUEEN HDBD/FTBD POSTS/DRAWERS,NO,PALLT,PAL5H,2,3,1,6,3,0,0.0,25.75,71.13,15.38,4.38,64.0,4.38,113.0,B814-50S,10,307.535376,G. 600-700,5.0,51.255896,F. 50-60,0x2a,0.11125199999999999,1.6256,0.11125199999999999,,
B814-51S,335,15,FA00,ZNBM,6,20.19,K/CK HDBD/FTBD POSTS/DRAWERS,NO,PALLT,PAL5H,2,3,1,6,3,0,0.0,26.0,88.0,15.25,4.38,64.0,4.38,125.0,B814-51S,30,340.194,H. 700-800,3.0,56.699,F. 50-60,0x2a,0.11125199999999999,1.6256,0.11125199999999999,,
B814-71,335,25,FA00,ZNBM,0,9.28,QUEEN HDBD/FTBD PANELS,NO,PALLT,PAL5H,1,10,1,10,3,0,0.0,59.5,61.63,4.38,2.13,42.0,55.5,69.0,B814-71,14,312.97848,G. 600-700,3.0,31.297848,D. 30-40,0x2a,0.054102,1.0668,1.4097,,
B814-72,335,15,FA00,ZNBM,6,12.98,KING/CAL KING HDBD/FTBD PANELS,NO,PALLT,PAL5H,1,12,1,12,3,0,0.0,59.75,77.0,4.88,2.0,41.88,74.25,82.0,B814-72,25,446.334528,K. 900-1000,1.0,37.194544,D. 30-40,0x2a,0.0508,1.063752,1.88595,,
B814-91,335,34,FA00,ZNBM,15,6.88,ONE DRAWER NIGHT STAND,NO,PALLT,PAL5H,3,3,2,18,1,0,0.0,20.63,30.13,19.13,17.88,27.75,28.0,48.0,B814-91,81,391.903488,I. 800-900,2.0,21.772416,C. 20-30,A3017CM1,0.45415199999999994,0.70485,0.7111999999999999,,
B814-98,335,18,FA00,ZNBM,0,4.46,QUEEN PANEL RAILS W/ROLL SLATS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,13.75,88.0,6.38,81.0,19.0,62.88,93.0,B814-98,25,674.944896,P. 1400-1500,1.0,42.184056,E. 40-50,0x2a,2.0574,0.4826,1.597152,,
B814-99,335,23,FA00,ZNBM,6,4.63,KING PANEL RAILS W/ROLL SLATS,NO,PALLT,RAILS,4,4,1,16,3,0,0.0,14.0,88.0,6.5,81.0,18.88,79.0,104.0,B814-99,47,754.777088,R. 1600-1700,1.0,47.173568,E. 40-50,0x2a,2.0574,0.479552,2.0065999999999997,,
