Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
B756-57,87,,,,
B090-781,32,,,,
T637-20,282,,,,
1240446,323,,,,
B971-154,6,,,,
B751-54,36,,,,
B719-92,300,,,,
B733-92,133,,,,
B633-92,158,,,,
T471-1,568,,,,
D631-01,994,,,,
D388-425,97,,,,
B633-36,80,,,,
B633-46,73,,,,
B756-56,213,,,,
D984-01A,668,,,,
B814-99,37,,,,
D546-424,276,,,,
D736-09,18,,,,
D748-01,64,,,,
B719-74,52,,,,
B719-57,15,,,,
B751-96,15,,,,
D736-25,34,,,,
B733-31,86,,,,
D803-01,196,,,,
B756-46,77,,,,
D546-524,318,,,,
B756-58,211,,,,
B814-36,37,,,,
9510444,81,,,,
B697-78,84,,,,
3370635,638,,,,
B733-36,58,,,,
D798-02A,244,,,,
D736-01,182,,,,
B733-58,34,,,,
T736-20,57,,,,
D786-00,25,,,,
D631-00,111,,,,
B697-99,79,,,,
D776-50B,12,,,,
D814-25,65,,,,
D394-01,252,,,,
D814-01,526,,,,
B971-197,28,,,,
B751-57,36,,,,
D631-45,181,,,,
9510344,80,,,,
5610346,76,,,,
B633-77,125,,,,
2730446,36,,,,
B719-98,42,,,,
B756-54,37,,,,
B719-99,59,,,,
1330277,78,,,,
B719-76,68,,,,
D736-32,25,,,,
B733-74,45,,,,
D546-13,38,,,,
D647-00,85,,,,
D786-01,858,,,,
D736-124,144,,,,
D786-25,167,,,,
D983-01,104,,,,
M71631W2,7,,,,
D647-124,588,,,,
D984-45,366,,,,
B100-14,79,,,,
B814-31,50,,,,
2100138,80,,,,
3370638,798,,,,
8070216,7,,,,
D768-45,6,,,,
B100-13,27,,,,
5200323,68,,,,
D803-55T,33,,,,
T351-13,57,,,,
2110508,13,,,,
B130-381,17,,,,
2110577,101,,,,
B971-93,84,,,,
W814-30,130,,,,
D589-35,47,,,,
2110408,13,,,,
D776-01,3228,,,,
1240456,340,,,,
B983-36,4,,,,
T471-4,266,,,,
T637-3,211,,,,
T637-4,84,,,,
D546-124,82,,,,
D546-324,84,,,,
2910288,6,,,,
B974-77,39,,,,
B974-74,39,,,,
B974-31,97,,,,
7450225,21,,,,
7690294,5,,,,
B974-92,167,,,,
7450294,14,,,,
7690288,30,,,,
2850214,87,,,,
1020246,834,,,,
D615-13,94,,,,
D743-60,89,,,,
D971-02,92,,,,
D743-01,650,,,,
U7160457,35,,,,
U7160458,56,,,,
5050516,109,,,,
5050408,25,,,,
5050466,43,,,,
3570235,173,,,,
5050416,58,,,,
5050517,93,,,,
5050566,93,,,,
5050467,58,,,,
5050567,109,,,,
3570238,262,,,,
3570221,117,,,,
5050417,43,,,,
5050508,24,,,,
8070234,83,,,,
5630338,85,,,,
5230466,356,,,,
8070317,88,,,,
8070217,62,,,,
8721338,178,,,,
5630335,56,,,,
8390416,30,,,,
3450238,27,,,,
B947-36,18,,,,
B947-31,19,,,,
B947-97,21,,,,
B947-56,16,,,,
D154-223,15,,,,
B947-46,15,,,,
B947-93,44,,,,
B947-58,16,,,,
1020264,478,,,,
2980465,44,,,,
1100134,98,,,,
1020146,937,,,,
1440477,213,,,,
1020265,468,,,,
1100177,59,,,,
1100146,95,,,,
1440446,521,,,,
2980408,13,,,,
1440465,287,,,,
2980477,24,,,,
1530517,132,,,,
5200314,61,,,,
5510418,175,,,,
A4000326,5,,,,
EB5514-111,3,,,,
T814-9,54,,,,
3380325,18,,,,
3190138,139,,,,
EW0446-124,12,,,,
9860586,20,,,,
7620489,345,,,,
1010494,5,,,,
T814-4,33,,,,
7650496,83,,,,
9910138,1,,,,
EW0440-124,17,,,,
T499-4,152,,,,
3990488,5,,,,
T356-13,54,,,,
7690225,17,,,,
7650596,49,,,,
7650498,53,,,,
7650487,93,,,,
2410135,275,,,,
B775-58W1,1,,,,
B502-96W1,4,,,,
B765-58,1,,,,
B775-56W1,1,,,,
B765-56S,1,,,,
T959-1,4,,,,
1361134,131,,,,
1361117,79,,,,
B680-92,145,,,,
9600602,27,,,,
9510435,179,,,,
B680-97,80,,,,
B680-58,52,,,,
B680-54,28,,,,
B680-57,28,,,,
B680-56,52,,,,
B680-31,54,,,,
9600617,26,,,,
8460423,41,,,,
8460435,77,,,,
8460438,142,,,,
3480938,164,,,,
3480935,164,,,,
3480923,89,,,,
M44004,43,,,,
5860567,277,,,,
5860566,277,,,,
5860577,286,,,,
1080229,44,,,,
5610349,70,,,,
3140335,156,,,,
3510335,167,,,,
3140338,153,,,,
3510314,24,,,,
3510338,208,,,,
5360425,12,,,,
4060439,6,,,,
5360436,16,,,,
4060438,182,,,,
4060435,172,,,,
4060639,19,,,,
5360325,45,,,,
5360336,32,,,,
9400235,46,,,,
5440557,58,,,,
5440577,70,,,,
3290235,143,,,,
5440546,108,,,,
2350146,18,,,,
3870414,18,,,,
8721416,75,,,,
T163-22,274,,,,
3870438,177,,,,
B971-156,18,,,,
B971-36,38,,,,
3370639,23,,,,
W331-127,2,,,,
3890139,42,,,,
W331-168,6,,,,
B971-158,19,,,,
W331-124,4,,,,
1960408,101,,,,
1020164,447,,,,
1020277,410,,,,
1100108,29,,,,
1960446,360,,,,
5230446,150,,,,
5230477,269,,,,
D984-60,231,,,,
B776-31,171,,,,
B776-54S,16,,,,
B776-97W1,188,,,,
B776-93,415,,,,
B776-54,30,,,,
B776-46,108,,,,
B100-14W1,197,,,,
B776-56W1,63,,,,
B776-158W1,118,,,,
B100-13W1,148,,,,
B776-157,31,,,,
Z1411838,463,,,,
D814-50T,24,,,,
EW0267-124,37,,,,
3380225,83,,,,
EW0440-268,25,,,,
7620494,207,,,,
5540328,27,,,,
H304-17,323,,,,
D814-02,1416,,,,
T275-2,263,,,,
T287-1,183,,,,
H400-09A,119,,,,
H304-29,486,,,,
T990-00,67,,,,
H755-44,38,,,,
T300-617,28,,,,
W755-48,25,,,,
T731-3,48,,,,
W755-68,27,,,,
A4000297,30,,,,
T844-3,18,,,,
W701-88,57,,,,
T300-317,98,,,,
H302-29,124,,,,
B756-91,399,,,,
T904-3,18,,,,
9414038,26,,,,
T755-9,22,,,,
T755-3,21,,,,
9414021,9,,,,
9414035,24,,,,
T904-9,34,,,,
2110517,43,,,,
2110516,50,,,,
2110521,79,,,,
2110565,156,,,,
2110564,185,,,,
1000665,172,,,,
4030608,21,,,,
1000677,98,,,,
4030616,70,,,,
4030646,137,,,,
1000616,47,,,,
1000608,22,,,,
4030667,108,,,,
4030666,93,,,,
4030617,55,,,,
1000646,285,,,,
1000664,163,,,,
1000617,37,,,,
T736-7,25,,,,
A3000224,15,,,,
EB2270-112,6,,,,
B090-782,12,,,,
1530521,26,,,,
9510423,90,,,,
A3000265,18,,,,
EB4121-112,2,,,,
D647-32,101,,,,
7720423,28,,,,
9510323,47,,,,
7500835,22,,,,
2110421,99,,,,
A3000030,42,,,,
T517-0,95,,,,
A4000033,4,,,,
B783-09,1,,,,
B130-581,120,,,,
6550414,34,,,,
4060420,110,,,,
4060414,34,,,,
7720435,44,,,,
5360439,14,,,,
5120539,39,,,,
2100123,45,,,,
2100114,9,,,,
2100135,66,,,,
5960367,114,,,,
9400238,36,,,,
5960377,99,,,,
T922-2,176,,,,
2930281,48,,,,
1570546,99,,,,
2930252,77,,,,
1570577,29,,,,
T922-1,109,,,,
2930286,35,,,,
1240477,72,,,,
3120123,154,,,,
1530503,59,,,,
D786-60,18,,,,
2110465,219,,,,
2984165,143,,,,
EW0446-268,19,,,,
3120138,333,,,,
D770-45,18,,,,
D770-02,28,,,,
5930247,127,,,,
5610356,60,,,,
3380294,32,,,,
3380288,26,,,,
9860525,103,,,,
B5168-82W1,114,,,,
2410121,264,,,,
B803-36,11,,,,
B5168-197W1,112,,,,
2410123,144,,,,
B5168-46,148,,,,
B803-31,5,,,,
5560338,33,,,,
3470814,10,,,,
D385-325,66,,,,
3510323,92,,,,
T994-20,245,,,,
T994-2,251,,,,
D814-13,23,,,,
W5637-20,148,,,,
3510342,69,,,,
D814-124,90,,,,
5440558,108,,,,
7500538,57,,,,
5610348,39,,,,
5930218,104,,,,
5930118,99,,,,
5930147,234,,,,
7650587,58,,,,
7500535,37,,,,
8390516,17,,,,
8390535,40,,,,
8721366,40,,,,
8721308,25,,,,
7500838,21,,,,
8390417,25,,,,
8070367,56,,,,
8390517,19,,,,
8721316,58,,,,
8721335,151,,,,
B776-97,73,,,,
B776-56,62,,,,
B776-36,134,,,,
B776-158,42,,,,
T782-4,31,,,,
T916-1,43,,,,
T782-3,63,,,,
T929-20,43,,,,
T916-2,25,,,,
T802-2,9,,,,
T891-9,5,,,,
T814-1,160,,,,
T979-9,6,,,,
T743-0,159,,,,
T743-6,351,,,,
T758-7,35,,,,
T814-3,275,,,,
T934-7,12,,,,
T782-1,53,,,,
T929-3,52,,,,
T776-4,194,,,,
T892-7,15,,,,
T934-9,69,,,,
T814-5,29,,,,
T743-7,56,,,,
T758-3,39,,,,
T979-3,6,,,,
T892-3,34,,,,
T892-9,65,,,,
T802-1,21,,,,
T758-9,61,,,,
T758-3W9,17,,,,
T743-4,94,,,,
W5411-20,118,,,,
W743-68,96,,,,
T163-16,50,,,,
B974-56W1,35,,,,
B974-36,76,,,,
B974-58W1,35,,,,
B974-57,39,,,,
B974-54,39,,,,
B974-50,71,,,,
M60X32US,43,,,,
T523-9,46,,,,
H683-01A,36,,,,
T523-7,33,,,,
D743-45,100,,,,
T747-4,36,,,,
H683-27,9,,,,
H683-17,14,,,,
D594-60,10,,,,
M82510,40,,,,
M44001,41,,,,
3190135,127,,,,
W5743-20,116,,,,
M44005,50,,,,
7590906,2,,,,
6200235,14,,,,
4710312,60,,,,
4710212,61,,,,
4620638,19,,,,
6200216,2,,,,
4620435,25,,,,
4620635,24,,,,
7591006,2,,,,
U4460425,7,,,,
6200238,11,,,,
4620538,20,,,,
4620535,29,,,,
5510420,15,,,,
8110525,205,,,,
6200267,2,,,,
5510414,3,,,,
4620438,15,,,,
8110425,115,,,,
5440562,71,,,,
