Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
3730739,2,,,,
2930241,4,,,,
W440-168,14,,,,
EW0200-127,5,,,,
D394-00,22,,,,
W648-68,154,,,,
EW0200-124,11,,,,
W440-127,2,,,,
2930240,11,,,,
2930246,30,,,,
4110214,1,,,,
2930207,8,,,,
W440-124,6,,,,
5810308,2,,,,
B974-97S,36,,,,
1650225,80,,,,
5610355,50,,,,
8721314,27,,,,
3780135,24,,,,
3080335,4,,,,
3870435,102,,,,
D745-01A,186,,,,
A3000200,63,,,,
3870423,59,,,,
A4000137,15,,,,
2050216,11,,,,
2050203,11,,,,
5290621,19,,,,
5290602,22,,,,
2050221,12,,,,
5290603,10,,,,
5290617,22,,,,
2050202,13,,,,
1000716,13,,,,
5290616,10,,,,
2050217,13,,,,
1100116,30,,,,
2350158,29,,,,
D394-024,154,,,,
9860588,30,,,,
4890223,27,,,,
B814-99W1,31,,,,
B814-72W1,31,,,,
B814-91W9,74,,,,
B814-51SW1,31,,,,
T150-3,9,,,,
T150-9,6,,,,
D631-32,86,,,,
D631-09,84,,,,
1670323,13,,,,
2230235,108,,,,
B719-58W1,21,,,,
T989-20,43,,,,
D5822-25,73,,,,
B719-97W1,21,,,,
D5822-60,46,,,,
T989-2,81,,,,
1670314,1,,,,
B719-56W1,15,,,,
T446-7,14,,,,
A4000268,18,,,,
D5822-01,262,,,,
3054038,63,,,,
3054021,31,,,,
3054035,63,,,,
3054023,35,,,,
3950408,22,,,,
1230314,17,,,,
2780249,4,,,,
2780248,4,,,,
9060349,28,,,,
9060346,41,,,,
9060355,28,,,,
8180749,7,,,,
8180748,20,,,,
1330256,67,,,,
1330255,69,,,,
M62841W2,16,,,,
M61341W2,17,,,,
M61241W2,8,,,,
M72741W2,9,,,,
B647-191W9,87,,,,
D310-15,22,,,,
D310-01,78,,,,
D394-423,119,,,,
D751-60,30,,,,
1540477,2,,,,
U4380987,6,,,,
B650-96W1,47,,,,
U8281513,7,,,,
U4380974,3,,,,
8310601,3,,,,
2820286,6,,,,
B647-56W1,65,,,,
8270349,2,,,,
U3940314,1,,,,
2820288,9,,,,
U4380998,1,,,,
5050538,165,,,,
8270350,1,,,,
1570517,19,,,,
B650-56W1,47,,,,
B650-93,114,,,,
2820225,2,,,,
U8281518,5,,,,
8310646,1,,,,
8310675,3,,,,
B650-58W1,47,,,,
U3940315,1,,,,
8310677,3,,,,
U8281547,4,,,,
5050535,118,,,,
5050523,48,,,,
U3940313,1,,,,
1540464,2,,,,
1540465,2,,,,
B647-146,50,,,,
8270348,2,,,,
1540446,3,,,,
3070520,22,,,,
3070538,18,,,,
2000620,27,,,,
2000635,39,,,,
3070535,14,,,,
2000638,43,,,,
D542-124,22,,,,
4000235,58,,,,
4000223,2,,,,
4000238,30,,,,
8260435,2,,,,
8260438B,2,,,,
6030629,15,,,,
8260438A,2,,,,
5810377,30,,,,
3990594,33,,,,
4060614,1,,,,
4640461,15,,,,
5560335,20,,,,
4890214,13,,,,
H633-34,21,,,,
3990588,43,,,,
6152077,92,,,,
6152046,91,,,,
6152099,15,,,,
6152056,79,,,,
6152034,23,,,,
6152055,77,,,,
4780417,10,,,,
4770435,19,,,,
4770438,27,,,,
4780466,10,,,,
5220417,33,,,,
9400325,11,,,,
6030529,32,,,,
2780225,39,,,,
9400225,9,,,,
1090012,19,,,,
EB1864-291,35,,,,
T185-8,290,,,,
4870120,24,,,,
5630320,21,,,,
B743-76W1,17,,,,
B743-99W1,14,,,,
B743-78W1,16,,,,
1330208,7,,,,
T026-13,27,,,,
T237-13,71,,,,
EB5514-155,2,,,,
EB4121-111,3,,,,
U8300413,1,,,,
2970289,1,,,,
3990598,5,,,,
EW0446-127,2,,,,
D647-09,15,,,,
D776-60,215,,,,
2660617,33,,,,
2660648,33,,,,
2660671,33,,,,
T697-3,26,,,,
B743-46,98,,,,
B476-31,21,,,,
B476-46,12,,,,
T468-3,11,,,,
B476-65,22,,,,
B476-64,22,,,,
5930113,30,,,,
B476-98,16,,,,
T468-7,31,,,,
D388-423,46,,,,
T468-00,57,,,,
B742-96W1,44,,,,
B742-74,54,,,,
U4380887,19,,,,
U4380874,10,,,,
U4380898,18,,,,
1560214,16,,,,
EB1864-245,23,,,,
EB1221-291,12,,,,
EB2120-291,7,,,,
EB1221-245,7,,,,
EB1864-231,21,,,,
EB1864-113,15,,,,
EB1221-157,15,,,,
H814-54,6,,,,
EB1221-231,9,,,,
EB2120-157,7,,,,
EB2120-231,5,,,,
EB1864-157,16,,,,
EB2120-245,5,,,,
H288-24,4,,,,
EB1221-113,13,,,,
B743-91,100,,,,
3950477,89,,,,
A4000231,15,,,,
D799-32,22,,,,
D397-124,8,,,,
7720418,32,,,,
A3000174,13,,,,
D799-124,122,,,,
D397-32,11,,,,
4040108,4,,,,
D799-76,24,,,,
M57141W2,17,,,,
A4000097,9,,,,
A4000392,40,,,,
A8010366,6,,,,
A4000516,8,,,,
H275-14,1,,,,
3470823,21,,,,
3470838,37,,,,
3470835,51,,,,
1810220,8,,,,
B796-58,5,,,,
B796-46,5,,,,
B947-57,6,,,,
B796-54,4,,,,
B947-54,6,,,,
B796-57,4,,,,
B796-36,5,,,,
D947-81,23,,,,
B796-31,6,,,,
D947-01A,110,,,,
D947-80,32,,,,
B796-92,8,,,,
D947-55B,43,,,,
D947-55T,43,,,,
B796-97,8,,,,
B796-56,5,,,,
4870135,31,,,,
D469-124,74,,,,
U7160431,21,,,,
D773-32,57,,,,
W996-78,57,,,,
A3000241,60,,,,
A4000508,17,,,,
D548-524,36,,,,
D548-024,116,,,,
W755-28,13,,,,
B076-280,13,,,,
B751-46,50,,,,
B751-31,104,,,,
B751-36,92,,,,
B751-93,100,,,,
B974-78,151,,,,
B974-76,151,,,,
2680418,32,,,,
W760-78,55,,,,
W651-68,2,,,,
D647-76,59,,,,
8070225,7,,,,
W796-68,19,,,,
W5776-20,120,,,,
W215-66,30,,,,
5440597,29,,,,
9454035,8,,,,
9454038,10,,,,
B733-97,10,,,,
B733-99,42,,,,
9454020,8,,,,
4060620,19,,,,
9454021,2,,,,
2930277,4,,,,
B130-582,63,,,,
B733-56,10,,,,
M62941W2,5,,,,
D798-55T,103,,,,
B5822-36,20,,,,
9831039,2,,,,
B5822-54SW1,47,,,,
T5822-1,30,,,,
D741-03A,12,,,,
T5822-2,30,,,,
B5822-58W1,13,,,,
B5822-56SW1,13,,,,
B5822-92,157,,,,
B5822-57,44,,,,
B5822-31,36,,,,
5540389,5,,,,
5690161,19,,,,
5252116,14,,,,
5252156,152,,,,
5252155,179,,,,
5252134,25,,,,
6152017,20,,,,
6152016,19,,,,
4870125,11,,,,
4110314,24,,,,
4870138,33,,,,
5960308,24,,,,
B777-97W1,50,,,,
B777-158W1,47,,,,
B777-56SW1,39,,,,
6650425,33,,,,
6650488,22,,,,
6650486,22,,,,
M62741W2,7,,,,
M62541W2,12,,,,
M58941W2,27,,,,
M58921US,85,,,,
M58911US,45,,,,
M58931US,70,,,,
M58941US,131,,,,
1440408,35,,,,
4770439,15,,,,
D781-01,390,,,,
D781-35,42,,,,
D781-00,17,,,,
D841-02A,48,,,,
D841-45,20,,,,
B769-31,37,,,,
D751-13,6,,,,
D751-124,28,,,,
D769-01,234,,,,
D781-60,23,,,,
D841-01,86,,,,
D769-35,29,,,,
B769-92,94,,,,
B769-46,10,,,,
D769-60,15,,,,
B769-82,40,,,,
B769-97,61,,,,
D781-50,8,,,,
D841-60,19,,,,
5730338,1,,,,
5730323,1,,,,
5730335,1,,,,
B974-46,49,,,,
8050520,13,,,,
8050538,16,,,,
3970246,17,,,,
4890235,41,,,,
8614055,12,,,,
W633-34,56,,,,
8614056,12,,,,
1020108,44,,,,
B769-36,35,,,,
T185-6,391,,,,
M67341W2,5,,,,
M61231W2,7,,,,
B872-58,12,,,,
B872-56,12,,,,
M61221US,2,,,,
D922-45B,9,,,,
D922-01,96,,,,
D922-45T,9,,,,
D922-50T,4,,,,
D922-50B,4,,,,
B742-58W1,11,,,,
B742-56W1,17,,,,
5530525,46,,,,
5530508,11,,,,
5530566,20,,,,
5530516,16,,,,
5530517,20,,,,
5530567,16,,,,
4130334,17,,,,
ZH141228,6,,,,
3210117,71,,,,
3210155,76,,,,
3340411,17,,,,
2940217,25,,,,
4620425,8,,,,
2900308,17,,,,
2940202,29,,,,
2940211,3,,,,
5650614,2,,,,
5740514,2,,,,
5650638,9,,,,
5530325,2,,,,
5650635,9,,,,
5530316,3,,,,
4770535,14,,,,
5470635,15,,,,
4770514,6,,,,
5470623,1,,,,
5740523,2,,,,
5240418,39,,,,
T247-13,4,,,,
5530367,3,,,,
5240414,1,,,,
4770538,15,,,,
5470638,23,,,,
5470614,1,,,,
5650623,3,,,,
5240423,8,,,,
4770523,6,,,,
2510256,68,,,,
2510277,68,,,,
2510255,68,,,,
8100320,7,,,,
5760439,2,,,,
A4000031,29,,,,
9060356,14,,,,
9060348,13,,,,
5530317,2,,,,
5530366,2,,,,
H755-17,35,,,,
2490438,55,,,,
2490435,78,,,,
2510246,102,,,,
B5822-97W1,84,,,,
B5822-58,35,,,,
B5822-56S,35,,,,
5050435,53,,,,
5050438,61,,,,
B778-82,8,,,,
B778-96,11,,,,
A3000029,152,,,,
B814-98,19,,,,
B814-50S,17,,,,
B814-46,16,,,,
B814-91,47,,,,
B814-51S,21,,,,
B814-72,19,,,,
B814-48,23,,,,
8254021,21,,,,
8254056,10,,,,
8254055,10,,,,
8254038,12,,,,
T845-3,15,,,,
4620639,1,,,,
B697-97,42,,,,
B697-58,33,,,,
B697-56,35,,,,
P784-821,3,,,,
P802-820,3,,,,
P798-625,13,,,,
P802-601A,6,,,,
P798-821,17,,,,
P798-838,16,,,,
P802-838,6,,,,
P802-600,3,,,,
P784-838,3,,,,
P802-625,3,,,,
P798-601A,33,,,,
P798-602A,14,,,,
P798-701,15,,,,
P802-701,6,,,,
P802-702,7,,,,
5220446,175,,,,
B778-82W1,31,,,,
B778-97W1,52,,,,
B778-92W9,23,,,,
5360225,49,,,,
5360339,31,,,,
5360337,21,,,,
5360237,28,,,,
B719-99W1,35,,,,
B719-76W1,40,,,,
B719-78W1,39,,,,
4870114,12,,,,
H320-24,3,,,,
M42641W2,15,,,,
M59141W2,1,,,,
A4000393,27,,,,
B697-76,81,,,,
B719-58,22,,,,
B733-58P,33,,,,
B733-58R,33,,,,
6330694,21,,,,
6330689,25,,,,
6330625,20,,,,
H675-11,15,,,,
9210257,2,,,,
9210265,2,,,,
9210264,2,,,,
B786-56,6,,,,
6330725,45,,,,
T736-4,15,,,,
EB5514-231,3,,,,
B181-57,3,,,,
8670425,19,,,,
2910194,3,,,,
8070208,6,,,,
H743-34R,6,,,,
B743-56W1,29,,,,
M59041W2,41,,,,
3730714,20,,,,
B743-97W1,32,,,,
A4000303,5,,,,
B743-58W1,26,,,,
D803-80,25,,,,
5410248,14,,,,
5410217,24,,,,
5410234,25,,,,
EB1198-291,14,,,,
D546-530,21,,,,
D546-630,3,,,,
B733-98,37,,,,
B733-77,18,,,,
W446-127,3,,,,
B743-87,5,,,,
D546-430,17,,,,
B328-59,12,,,,
EB1864-156,10,,,,
B743-84,11,,,,
T172-4,2,,,,
T251-13,78,,,,
5740466,3,,,,
5252177,27,,,,
5740417,3,,,,
5740408,1,,,,
5252117,27,,,,
3290214,14,,,,
1330266,45,,,,
1330267,28,,,,
1330246,65,,,,
1330234,27,,,,
5810364,17,,,,
5810365,16,,,,
4970142,15,,,,
4970118,26,,,,
B971-46,17,,,,
D768-60,1,,,,
B733-76,40,,,,
B647-58,52,,,,
B733-96,9,,,,
B971-157,27,,,,
5220416,40,,,,
T784-2,14,,,,
T784-1,9,,,,
4710412,7,,,,
D798-01,408,,,,
8614021,22,,,,
8614038,12,,,,
A3000324,7,,,,
5950423,10,,,,
5950438,19,,,,
5950425,42,,,,
5950435,23,,,,
3540225,33,,,,
D596-35,10,,,,
1230323,48,,,,
D388-13,33,,,,
T659-3,10,,,,
1870438,23,,,,
1870421,22,,,,
T659-7,12,,,,
1870435,24,,,,
1870423,23,,,,
U4480561,9,,,,
6152008,9,,,,
B768-36,32,,,,
B768-92,72,,,,
9414014,4,,,,
B768-58W1,16,,,,
B768-56W1,16,,,,
9414020,18,,,,
EB5514-122,23,,,,
B768-46,28,,,,
B768-31,32,,,,
1000699,25,,,,
T683-0,47,,,,
T796-00,34,,,,
H632-70,16,,,,
T786-3,66,,,,
H632-44,16,,,,
W763-68,10,,,,
T769-1,75,,,,
T416-13,64,,,,
T683-6,64,,,,
H304-12,252,,,,
T786-0,58,,,,
H632-01A,30,,,,
T769-3,118,,,,
W854-68,24,,,,
T781-1,28,,,,
T781-3,48,,,,
9860625,95,,,,
8240435,9,,,,
3450214,4,,,,
1220620,1,,,,
3450335,2,,,,
3450314,3,,,,
3450239,1,,,,
U5460218,6,,,,
U4370147,1,,,,
D754-01,4,,,,
U8460418,4,,,,
8240438,14,,,,
9510308,10,,,,
9510408,58,,,,
D647-024,56,,,,
2530277,108,,,,
2530246,125,,,,
2530255,114,,,,
2530256,114,,,,
5510518,45,,,,
8721439,29,,,,
5900567,13,,,,
5900646,7,,,,
B974-56,4,,,,
5900546,14,,,,
5900555,13,,,,
5900667,6,,,,
B974-58,4,,,,
5900655,6,,,,
B697-58W1,28,,,,
B697-56W1,28,,,,
B697-97W1,27,,,,
7720439,19,,,,
B769-81,21,,,,
EB2270-182,8,,,,
EB2270-163,6,,,,
EB2270-165,2,,,,
B783-97W1,9,,,,
8721420,7,,,,
D388-224,85,,,,
T738-3,39,,,,
T235-13,87,,,,
T738-20,51,,,,
3912246,166,,,,
3912208,5,,,,
3912277,103,,,,
3912234,166,,,,
3912217,39,,,,
3912256,124,,,,
3912216,31,,,,
3912255,128,,,,
B743-57,68,,,,
B980-97,40,,,,
B980-56,35,,,,
B980-54,5,,,,
B980-57,5,,,,
B743-54,58,,,,
B980-58,35,,,,
B743-96,44,,,,
D647-55T,39,,,,
D647-55B,39,,,,
B650-31,55,,,,
2862066,7,,,,
2862034,9,,,,
2862017,7,,,,
1650325,80,,,,
9050318,19,,,,
9050315,21,,,,
4410163,2,,,,
6180675,16,,,,
6180601,16,,,,
4410177,2,,,,
6380229,29,,,,
6070313,8,,,,
6180677,13,,,,
6070318,5,,,,
6070315,5,,,,
4410190,2,,,,
6180682,2,,,,
4410146,2,,,,
9050313,29,,,,
6380329,48,,,,
3340421,78,,,,
2630520,41,,,,
2630535,59,,,,
2630538,70,,,,
3070508,2,,,,
B742-25,12,,,,
D548-030,44,,,,
9380225,10,,,,
W797-68,5,,,,
9380286,13,,,,
A3000308,84,,,,
3570214,14,,,,
3290320,25,,,,
3330117,11,,,,
3330166,14,,,,
2460594,6,,,,
2460529,8,,,,
2460588,26,,,,
D393-124,6,,,,
D393-13,3,,,,
A3000081,41,,,,
T841-6,26,,,,
T847-7,123,,,,
T847-1,77,,,,
T854-3,188,,,,
T841-2,97,,,,
T841-1,55,,,,
T854-9,126,,,,
D770-01,90,,,,
8410220,10,,,,
9860488,30,,,,
9860425,60,,,,
9400339,1,,,,
2910294,5,,,,
EW0331-268,11,,,,
D803-81W9,9,,,,
2730455,37,,,,
2730456,37,,,,
2730477,37,,,,
B633-74W1,28,,,,
D380-924,22,,,,
A4000102,14,,,,
5540394,13,,,,
9400417,2,,,,
9400416,4,,,,
9400367,1,,,,
9400366,1,,,,
D546-130,2,,,,
9400239,3,,,,
9600616,18,,,,
1150320,7,,,,
B076-260,9,,,,
D5170-01,96,,,,
D384-325,57,,,,
B776-58,14,,,,
B776-56S,15,,,,
B743-196,5,,,,
B452-81,10,,,,
B743-54S,5,,,,
5930277,9,,,,
4130349,20,,,,
4130348,9,,,,
4130316,4,,,,
4130308,3,,,,
4130346,9,,,,
4130376,22,,,,
4130317,4,,,,
4130375,10,,,,
A4000139,8,,,,
B010-209,3,,,,
D336-124,46,,,,
D334-124,6,,,,
A4000319,13,,,,
D336-52,16,,,,
D334-024,14,,,,
D336-024,8,,,,
A3000286,13,,,,
D642-60,23,,,,
D642-32,49,,,,
D334-52,4,,,,
M57241W2,7,,,,
M57231W2,6,,,,
M41041W2,5,,,,
M40741W2,5,,,,
M41031W2,13,,,,
M41131W2,6,,,,
M40641W2,7,,,,
B777-96W1,8,,,,
D384-223,36,,,,
B777-157,10,,,,
D383-223,20,,,,
5050514,6,,,,
B778-48,16,,,,
T457-3,18,,,,
A4000225,6,,,,
6650286,27,,,,
5470538,26,,,,
5470514,4,,,,
1170223,1,,,,
EB1011-231,6,,,,
6650288,32,,,,
T964-3,8,,,,
8390466,13,,,,
1170214,1,,,,
3290314,1,,,,
5470523,1,,,,
6650225,31,,,,
D631-60,30,,,,
A4000034,8,,,,
EB1011-245,11,,,,
5470535,14,,,,
T457-20,20,,,,
9230538,73,,,,
9230523,53,,,,
9230535,64,,,,
B650-56,4,,,,
B650-97,4,,,,
D748-45,5,,,,
B650-36,4,,,,
M59041US,115,,,,
D736-60,21,,,,
D924-60,17,,,,
D784-32,8,,,,
D784-124,12,,,,
D784-09,4,,,,
2570466,119,,,,
2570446,67,,,,
2570408,30,,,,
2570477,119,,,,
2570467,119,,,,
5900525,22,,,,
8050514,10,,,,
8050535,15,,,,
B650-178,1,,,,
B974-76W1,10,,,,
B650-46,24,,,,
A3000323,10,,,,
B650-176,1,,,,
B974-78W1,10,,,,
T731-7,38,,,,
U5950418,3,,,,
U5950415,3,,,,
D368-425,10,,,,
B743-53,16,,,,
B743-83,16,,,,
B743-52,16,,,,
A4000636,1,,,,
3520442,37,,,,
A4000619,1,,,,
D634-00,1,,,,
D388-230,20,,,,
D596-00,3,,,,
A4000333,3,,,,
A3000658,1,,,,
5660318,18,,,,
2640438,18,,,,
6720420,4,,,,
2640435,19,,,,
6720418,4,,,,
9250418,46,,,,
8390467,8,,,,
D383-325,27,,,,
B793-31,11,,,,
B793-95,11,,,,
8030516,1,,,,
5840125,24,,,,
B793-76S,11,,,,
B793-78,11,,,,
8030567,1,,,,
B793-91,28,,,,
B793-36,11,,,,
1330217,47,,,,
H647-17,7,,,,
A3000628,26,,,,
3990525,36,,,,
8460414,17,,,,
5830094,39,,,,
5830089,69,,,,
4620525,46,,,,
4620625,11,,,,
9600603,16,,,,
B778-81W1,23,,,,
4770518,10,,,,
4770539,10,,,,
D748-60,2,,,,
D970-60,40,,,,
D983-60,14,,,,
5190335,89,,,,
5190338,48,,,,
8240477,12,,,,
B650-78,8,,,,
B650-76,8,,,,
T775-9,23,,,,
4470486,3,,,,
3660313,5,,,,
3660315,4,,,,
T396-13,19,,,,
4470481,3,,,,
3660318,4,,,,
T745-9,2,,,,
3340439,9,,,,
6200220,3,,,,
1202020,9,,,,
B5822-46,36,,,,
T869-9,2,,,,
3912276,7,,,,
B090-781W1,23,,,,
5190339,11,,,,
5190323,10,,,,
B799-58W1,3,,,,
B799-56W1,3,,,,
B799-97W1,3,,,,
EA1024-4X2,15,,,,
T731-9,55,,,,
1010425,3,,,,
3210116,19,,,,
3210156,21,,,,
3210134,106,,,,
3210146,28,,,,
3210177,76,,,,
3670235,19,,,,
3670238,20,,,,
B971-154W1,20,,,,
W402-68,41,,,,
4650496,1,,,,
4650489,12,,,,
4650494,9,,,,
4650425,11,,,,
4650498,1,,,,
4650499,1,,,,
A4000507,21,,,,
3690325,2,,,,
H400-08A,35,,,,
M67441W2,7,,,,
M71841W2,3,,,,
B783-97,6,,,,
B783-81,3,,,,
B783-82,3,,,,
M61131W2,36,,,,
W797-38,16,,,,
3090177,10,,,,
5760414,11,,,,
3090108,8,,,,
3480914,5,,,,
3080323,4,,,,
3080338,2,,,,
EB2320-291,3,,,,
EB4121-113,12,,,,
7500525,16,,,,
EB5514-156,3,,,,
EB1811-112,1,,,,
8390414,2,,,,
1010488,4,,,,
A4000374,4,,,,
2960314,3,,,,
T243-13,52,,,,
3030580,10,,,,
3030578,8,,,,
B719-54,11,,,,
B719-96,13,,,,
D250-06,18,,,,
D422-225,6,,,,
B685-36,14,,,,
B685-56,11,,,,
D466-124,8,,,,
D250-25,36,,,,
B685-58,11,,,,
D947-00,16,,,,
B685-97,22,,,,
D422-325,11,,,,
B685-54,13,,,,
B685-31,15,,,,
B685-92,35,,,,
D422-223,4,,,,
D466-230,8,,,,
D466-224,8,,,,
B685-57,13,,,,
T994-7,43,,,,
M69631W2,1,,,,
W901-68,52,,,,
H633-34R,9,,,,
9600621,3,,,,
T158-13,5,,,,
U4380888,28,,,,
U4380825,7,,,,
U4380925,8,,,,
U4383386,6,,,,
U4383388,6,,,,
U4380988,8,,,,
U4380886,7,,,,
U4383325,6,,,,
U4380986,8,,,,
T505-560,12,,,,
M41241W2,6,,,,
D380-724,18,,,,
D380-930,8,,,,
D803-01A,40,,,,
D469-323,10,,,,
D469-13,9,,,,
B476-36,20,,,,
B476-69,14,,,,
W989-68,15,,,,
D642-09,44,,,,
W814-68,7,,,,
T796-7,23,,,,
6190466,19,,,,
6190417,19,,,,
D5170-25,13,,,,
D983-25,17,,,,
2610638,37,,,,
2610635,37,,,,
2610617,25,,,,
5560325,13,,,,
4470452,3,,,,
6570729,14,,,,
B733-78,18,,,,
4660625,4,,,,
5760423,10,,,,
5760435,12,,,,
5760438,15,,,,
D425-225,46,,,,
3030525,10,,,,
T775-3,21,,,,
3330116,7,,,,
D393-024,6,,,,
T300-117,146,,,,
T300-217,64,,,,
2510208,8,,,,
B687-87,2,,,,
B687-58,2,,,,
B687-92,3,,,,
B687-56,2,,,,
1330216,36,,,,
6880425,26,,,,
6880486,24,,,,
6880488,24,,,,
A4000219,15,,,,
W841-168,5,,,,
B924-31,43,,,,
B924-36,42,,,,
B924-46,31,,,,
B680-46,21,,,,
B680-36,44,,,,
B924-93,47,,,,
T786-7,29,,,,
T756-1,7,,,,
7960438,10,,,,
A3000365,37,,,,
A3000644,19,,,,
A3000325,28,,,,
A4000089,8,,,,
A3000343,10,,,,
A3000208,7,,,,
1110256,35,,,,
1110216,18,,,,
1110277,7,,,,
1110234,7,,,,
6280238,4,,,,
5640234,1,,,,
M57141US,52,,,,
M59241US,87,,,,
M42731W2,4,,,,
M59141US,54,,,,
M40641US,52,,,,
M42531W2,14,,,,
M57131W2,5,,,,
M41231W2,5,,,,
M42541US,62,,,,
M44002,53,,,,
M42641US,52,,,,
M57241US,52,,,,
M40631W2,5,,,,
M40531W2,5,,,,
M59131W2,3,,,,
M41241US,52,,,,
M41041US,52,,,,
M42741US,52,,,,
M40541US,52,,,,
M40731W2,5,,,,
M59231W2,36,,,,
M42631W2,4,,,,
M59031W2,10,,,,
M40741US,52,,,,
M41141US,52,,,,
B751-96W1,21,,,,
1000717,9,,,,
2350157,12,,,,
B650-57,10,,,,
B650-54,9,,,,
B650-96,9,,,,
D596-01,60,,,,
D803-55B,35,,,,
B760-78W1,64,,,,
B760-76W1,64,,,,
M62731W2,2,,,,
M62531W2,2,,,,
7050908,6,,,,
9110234,3,,,,
9110249,3,,,,
9110216,3,,,,
A4000565,33,,,,
A3000300,5,,,,
8530512,10,,,,
3320287,11,,,,
3320296,11,,,,
3320196,24,,,,
8530612,6,,,,
3320187,29,,,,
9250423,24,,,,
9250414,8,,,,
4040167,4,,,,
4040116,4,,,,
4040166,3,,,,
4040117,3,,,,
7960439,5,,,,
A3000641,6,,,,
A3000053,56,,,,
2610660,11,,,,
M59031US,40,,,,
M59341US,70,,,,
M59331W2,20,,,,
D5170-60,6,,,,
B924-54,5,,,,
B924-56,29,,,,
B924-57,5,,,,
B924-58,29,,,,
3440114,12,,,,
7960435,12,,,,
1202008,1,,,,
D798-00,45,,,,
6330789,15,,,,
8721410,3,,,,
2540435,118,,,,
4060539,10,,,,
2540423,66,,,,
2540438,132,,,,
B643-78,2,,,,
B643-98,1,,,,
B764-72,1,,,,
B452-82,3,,,,
B643-77,1,,,,
B718-54,4,,,,
B718-56,11,,,,
B643-76,2,,,,
B718-46,9,,,,
B643-99,2,,,,
B643-74,1,,,,
B764-50,6,,,,
B718-58,11,,,,
B718-57,4,,,,
B764-31,4,,,,
B764-46,7,,,,
B718-96,4,,,,
B764-97,6,,,,
B718-97,11,,,,
B764-93,17,,,,
B777-54,2,,,,
B718-93,26,,,,
B718-31,13,,,,
B280-681,4,,,,
A4000140,10,,,,
T300-517,38,,,,
A4000325,4,,,,
D736-00,32,,,,
D773-60,2,,,,
B5169-196,1,,,,
B5169-54S,1,,,,
B5169-57,1,,,,
D970-09,5,,,,
B772-58,8,,,,
B772-56S,9,,,,
5740416,6,,,,
5810317,4,,,,
B772-96,9,,,,
B772-57,8,,,,
EW1011-268,37,,,,
5740467,3,,,,
B772-97,9,,,,
5740538,10,,,,
B772-54S,9,,,,
B772-92,17,,,,
B772-46,9,,,,
B772-31,10,,,,
T440-4,43,,,,
T390-13,96,,,,
T440-3,86,,,,
5950525,30,,,,
T440-1,47,,,,
B5169-197W1,7,,,,
4970120,10,,,,
B974-92W9,23,,,,
8721408,7,,,,
1110255,16,,,,
1110217,5,,,,
1361116,14,,,,
1361177,21,,,,
5610311,10,,,,
8390514,4,,,,
5860508,7,,,,
T839-6,33,,,,
8390539,3,,,,
W562-28,6,,,,
T194-13,58,,,,
A4000178,15,,,,
T271-13,5,,,,
EW1198-268,17,,,,
A4000189,27,,,,
EB2270-291,11,,,,
EB4121-156,2,,,,
Z1610999,22,,,,
T990-3,79,,,,
EB2270-156,6,,,,
EB4121-291,14,,,,
P798-814,5,,,,
P798-702,17,,,,
P798-835,12,,,,
P465-625,15,,,,
P465-820,15,,,,
P465-822,10,,,,
2640415,9,,,,
W267-127,3,,,,
W267-124,6,,,,
W267-168,5,,,,
1361146,25,,,,
5900539,16,,,,
D924-00,13,,,,
M59241W2,10,,,,
5252146,36,,,,
A3000205,7,,,,
A3000646,7,,,,
B761-91,26,,,,
B761-54,46,,,,
H449-14,29,,,,
B761-57,45,,,,
8070267,5,,,,
B476-95,4,,,,
W797-28,9,,,,
H400-111,2,,,,
2350177,11,,,,
2350131,10,,,,
EB3477-155,2,,,,
4580639,1,,,,
U5460213,5,,,,
U6090094,3,,,,
U5460215,6,,,,
U6090052,3,,,,
3310420,5,,,,
3054016,5,,,,
3054055,5,,,,
3054017,5,,,,
3054056,5,,,,
5530308,2,,,,
1740234,8,,,,
2970294,2,,,,
1740255,8,,,,
2250165,2,,,,
1740277,9,,,,
2250164,2,,,,
2490423,24,,,,
D770-60,1,,,,
5810316,3,,,,
D754-05,26,,,,
7500518,8,,,,
5500308,1,,,,
5500349,1,,,,
5500316,1,,,,
5500334,1,,,,
5470536,3,,,,
A4000517,4,,,,
T429-0,10,,,,
T429-6,12,,,,
T236-13,37,,,,
3190267,7,,,,
3190255,7,,,,
3190129,7,,,,
7870138,5,,,,
7870135,6,,,,
2260506,4,,,,
2260574,3,,,,
2260599,3,,,,
8180750,13,,,,
9400425,14,,,,
9600611,18,,,,
5730238,6,,,,
5730214,1,,,,
5730235,6,,,,
5730223,1,,,,
D413-425,7,,,,
3660213,5,,,,
3660218,1,,,,
D413-225,7,,,,
D396-223,1,,,,
D396-325,1,,,,
3912299,4,,,,
3660215,1,,,,
D5169-25,4,,,,
D5169-02,24,,,,
1310425,2,,,,
9150118,14,,,,
8721414,8,,,,
EB1811-111,2,,,,
3070608,11,,,,
3990596,3,,,,
B680-87,4,,,,
B687-46,1,,,,
B685-87,2,,,,
W786-78,5,,,,
B687-36,1,,,,
B687-31,1,,,,
4522025,7,,,,
B697-39,1,,,,
B760-74,18,,,,
9831038,9,,,,
A3000237,2,,,,
A3000604,32,,,,
B760-77,18,,,,
6330794,11,,,,
B761-58,3,,,,
B761-48,5,,,,
B733-50,10,,,,
B761-36,5,,,,
D380-524,4,,,,
