ITNBR,ITDSC,ITCLS,HOUSE,ONHAND,UnitPrice($USD),AMT($USD),PRODUCT_CATEGORY,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SCOOPWIDTH,SKIDSIZE,ITMCQTY,PALLET_QTY
6200314UN,OTTOMAN/COVER/PEBBLE,ZACK,,,12.81,,UnKits,PURPO,,0,0,0,0,0,0,6,
6200316UN,LAF CORNER CHAISE/COVER/PEBBLE,ZACK,,,50.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
6200317UN,RAF CORNER CHAISE/COVER/PEBBLE,ZACK,,,50.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
6200320UN,CHAIR/COVER/PEBBLE,ZACK,,,31.92,,UnKits,PURPO,,0,0,0,0,0,0,4,
6200335UN,LOVESEAT/COVER/PEBBLE,ZACK,,,46.18,,UnKits,PURPO,,0,0,0,0,0,0,4,
6200338UN,SOFA/COVER/PEBBLE,ZACK,,,59.66,,UnKits,PURPO,,0,0,0,0,0,0,3,
6200366UN,LAF SOFA/COVER/PEBBLE,ZACK,,,52.29,,UnKits,PURPO,,0,0,0,0,0,0,3,
6200367UN,RAF SOFA/COVER/PEBBLE,ZACK,,,52.5,,UnKits,PURPO,,0,0,0,0,0,0,3,
6220416MRUN,LAF CORNER CHAISE/COVER/LINEN,ZACK,,,44.74255277174985,,UnKits,PURPO,,0,0,0,0,0,0,4,
6220417MRUN,RAF CORNER CHAISE/COVER/LINEN,ZACK,,,44.74255277174985,,UnKits,PURPO,,0,0,0,0,0,0,4,
6220435MRUN,LOVESEAT/COVER/LINEN,ZACK,,,41.15999210889722,,UnKits,PURPO,,0,0,0,0,0,0,4,
6220438MRUN,SOFA/COVER/LINEN,ZACK,,,52.684947721444075,,UnKits,PURPO,,0,0,0,0,0,0,6,
6220466MRUN,LAF SOFA/COVER/LINEN,ZACK,,,44.146774511738016,,UnKits,PURPO,,0,0,0,0,0,0,4,
6220467MRUN,RAF SOFA/COVER/LINEN,ZACK,,,44.158611165910436,,UnKits,PURPO,,0,0,0,0,0,0,4,
6230616MRUN,LAF CORNER CHAISE/COVER/SLATE,ZACK,,,36.07812191753798,,UnKits,PURPO,,0,0,0,0,0,0,4,
6230617MRUN,RAF CORNER CHAISE/COVER/SLATE,ZACK,,,36.16097849674492,,UnKits,PURPO,,0,0,0,0,0,0,4,
6230635MRUN,LOVESEAT/COVER/SLATE,ZACK,,,32.846715328467155,,UnKits,PURPO,,0,0,0,0,0,0,4,
6230638MRUN,SOFA/COVER/SLATE,ZACK,,,38.623002564608406,,UnKits,PURPO,,0,0,0,0,0,0,8,
6230666MRUN,LAF SOFA/COVER/SLATE,ZACK,,,35.438942592227264,,UnKits,PURPO,,0,0,0,0,0,0,4,
6230667MRUN,RAF SOFA/COVER/SLATE,ZACK,,,35.53363582560663,,UnKits,PURPO,,0,0,0,0,0,0,4,
6240623MRUN,CHAIR AND A HALF/CVR/DRIFTWOOD,ZACK,,,21.73604261195502,,UnKits,PURPO,,0,0,0,0,0,0,6,
6240635MRUN,LOVESEAT/COVER/DRIFTWOOD,ZACK,,,33.48984020516867,,UnKits,PURPO,,0,0,0,0,0,0,10,
6240638MRUN,SOFA/COVER/DRIFTWOOD,ZACK,,,43.42868415861117,,UnKits,PURPO,,0,0,0,0,0,0,6,
6250335MRUN,LOVESEAT/COVER/LINEN,ZACK,,,38.42572499506806,,UnKits,PURPO,,0,0,0,0,0,0,10,
6250338MRUN,SOFA/COVER/LINEN,ZACK,,,49.10238705859144,,UnKits,PURPO,,0,0,0,0,0,0,6,
6250342MRUN,SWIVE ACCENT CHAIR/COVER/LINEN,ZACK,,,17.451173801538765,,UnKits,PURPO,,0,0,0,0,0,0,12,
6270302UN,LAF SOFA CHAISE/COVER/FOSSIL,ZACK,,,47.84384693488262,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270303UN,RAF SOFA CHAISE/COVER/FOSSIL,ZACK,,,47.77853760901953,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270308UN,OVERS ACCENT OTTO/COVER/FOSSIL,ZACK,,,13.90154800502821,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270316UN,LAF CORNER CHAISE/COVER/FOSSIL,ZACK,,,38.85390267830223,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270317UN,RAF CORNER CHAISE/COVER/FOSSIL,ZACK,,,38.94374277741448,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270369UN,LAF SOFA CHAISE Q SL/CV/FOSSIL,ZACK,,,44.33590056937344,,UnKits,PURPO,,0,0,0,0,0,0,1,
6270370UN,RAF SOFA CHAISE Q SL/CV/FOSSIL,ZACK,,,44.248855232193726,,UnKits,PURPO,,0,0,0,0,0,0,1,
628H238MRUN,SOFA/COVER/JUTE,ZACK,,,40.80883803511541,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280217MRUN,RAF CORNER CHAISE/COVER/JUTE,ZACK,,,36.20043401065299,,UnKits,PURPO,,0,0,0,0,0,0,6,
6280217UN,RAF CORNER CHAISE/COVER/JUTE,ZACK,,,34.66,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280238MRUN,SOFA/COVER/JUTE,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
6280246UN,ARMLESS CHAIR/COVER/JUTE,ZACK,,,13.25,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280248UN,L SOFA W/CORN WEDGE/COVER/JUTE,ZACK,,,49.56,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280249UN,R SOFA W/CORN WEDGE/COVER/JUTE,ZACK,,,49.56,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280255UN,LAF LOVESEAT/COVER/JUTE,ZACK,,,29.74,,UnKits,PURPO,,0,0,0,0,0,0,4,
6280256UN,RAF LOVESEAT/COVER/JUTE,ZACK,,,29.74,,UnKits,PURPO,,0,0,0,0,0,0,4,
6282235UN,LOVESEAT/COVER/JUTE,ZACK,,,36.01,,UnKits,PURPO,,0,0,0,0,0,0,4,
6282238UN,SOFA/COVER/JUTE,ZACK,,,39.09,,UnKits,PURPO,,0,0,0,0,0,0,3,
6290518MRUN,SOFA CHAISE/COVER/INK,ZACK,,,47.7569540343263,,UnKits,PURPO,,0,0,0,0,0,0,5,
6290542MRUN,SWIVEL ACCENT CHAIR/COVER/INK,ZACK,,,13.028210692444269,,UnKits,PURPO,,0,0,0,0,0,0,10,
6300449UN,RAF SOFA/WEDGE/COVER/PEWTER,ZACK,,,49.44,,UnKits,PURPO,,0,0,0,0,0,0,4,
6300455UN,LAF LOVESEAT/COVER/PEWTER,ZACK,,,29.69,,UnKits,PURPO,,0,0,0,0,0,0,4,
