ITNBR,ITDSC,ITCLS,HOUSE,ONHAND,UnitPrice($USD),AMT($USD),PRODUCT_CATEGORY,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SCOOPWIDTH,SKIDSIZE,ITMCQTY,PALLET_QTY
#TRUDIE,FILL KIT CUSHION,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
A300X207UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,51.0,4.0,40.27572881783547,161.10291527134189,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000002UN,SWVL GLIDER ACCT CHR/COVER/ASH,ZACK,,,46.65743647662261,,UnKits,UPH,UPHCH,2,4,2,16,1,3,8,
A3000006MRUN,SWVL GLDR ACCT CHR/COVER/QRTZ,ZACK,,,29.69789620819333,,UnKits,PURPO,,0,0,0,0,0,0,8,
A3000006UN,SWVL GLDR ACCT CHR/COVER/QRTZ,ZACK,51.0,24.0,29.546669147234564,709.1200595336295,UnKits,UPH,UPHCH,2,4,2,16,1,3,8,1.0
A3000012UN,ACCENT CHAIR/COVER/GRAY/CREAM,ZACK,,,31.26,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000205UN,SWIVEL GLDR ACCT CHR/COVER/ASH,ZACK,,,46.79,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000206UN,SWVL GLDR ACCT CHR/COVER/FROST,ZACK,,,61.932384559216416,,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,
A3000207UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,44.9,,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,
A3000208UN,SWIVEL GLDR ACCT CHR/COVER/PEB,ZACK,,,46.20721984119156,,UnKits,UPH,UPHCH,1,3,3,9,1,16,4,
A3000265UN,SWVL GLDR ACCENT CHR/COVER/FOG,ZACK,51.0,8.0,24.460193017530873,195.68154414024698,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,1.0
A3000330UN,ACCENT CHAIR/COVER/CHARCOAL,ZACK,,,21.36,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000365UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,30.81,,UnKits,PURPO,,0,0,0,0,0,0,6,
A3000365XUN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,29.75,,UnKits,UPH,UPHCH,1,3,3,9,1,16,6,
A3000366UN,SWVL GLDR ACCT CHR/COVER/CHARC,ZACK,,,30.81,,UnKits,PURPO,,0,0,0,0,0,0,6,
A3000366XUN,SWVL GLDR ACCT CHR/COVER/CHARC,ZACK,,,29.72,,UnKits,UPH,UPHCH,2,4,2,16,1,3,6,
A3000604MRUN,ACCENT CHAIR/COVER/GRAY,ZACK,,,20.974319413511147,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000604UN,ACCENT CHAIR/COVER/GRAY,ZACK,,,21.22,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000644UN,SWVL GLDR ACCT CHR/COVER/STONE,ZACK,51.0,8.0,24.94,199.52,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,1.0
A3000646UN,SWVL GLDR ACCT CHR/COVER/DENIM,ZACK,,,24.78,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000649UN,SWIVEL CHAIR/COVER/TWILIGHT,ZACK,,,26.27660083181969,,UnKits,PURPO,,0,0,0,0,0,0,1,
A3000656UN,ACCENT CHAIR/COVER/PLANTAIN,ZACK,,,41.561365062142436,,UnKits,UPH,UPHCH,2,4,2,16,1,3,12,
A3000658UN,ACCENT CHAIR/COVER/AVOCADO,ZACK,,,25.30353382773052,,UnKits,UPH,UPHCH,2,4,2,16,1,3,12,
A3000724UN,SWIVEL CHAIR/COVER/ALLOY,ZACK,51.0,6.0,22.42,134.52,UnKits,UPH,UPHCH,2,4,2,16,1,3,6,1.0
A3000725UN,SWIVEL CHAIR/COVER/ONYX,ZACK,,,22.38,,UnKits,UPH,UPHCH,2,4,2,16,1,3,6,
A3000736UN,SWIVEL ACCENT CHR/COVER/TWILL,ZACK,,,23.84,,UnKits,UPH,UPHCH,2,4,2,16,1,3,6,
A3000737UN,SWIVEL ACCENT CHR/COVER/PEWTER,ZACK,,,20.08,,UnKits,UPH,UPHCH,2,4,2,16,1,3,6,
RV1050036UN,FULL SOFA SLEEPER/COVER/CAFE,ZACK,,,38.47,,UnKits,PURPO,,0,0,0,0,0,0,4,
RV1050039UN,QUEEN SOFA SLEEPER/COVER/CAFE,ZACK,,,40.6,,UnKits,PURPO,,0,0,0,0,0,0,3,
RV1050136UN,FULL SOFA SLEEPER/COVER/STONE,ZACK,,,50.5,,UnKits,PURPO,,0,0,0,0,0,0,4,
RV1050139UN,QUEEN SOFA SLEEPER/COVER/STONE,ZACK,,,53.03,,UnKits,PURPO,,0,0,0,0,0,0,3,
UNTEST,WW,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
100M616UN,LAF CORNER CHAISE/COVER/LINEN,ZACK,51.0,14.0,74.45,1042.3,UnKits,PURPO,,0,0,0,0,0,0,2,
100M617UN,RAF CORNER CHAISE/COVER/LINEN,ZACK,51.0,22.0,74.44,1637.68,UnKits,PURPO,,0,0,0,0,0,0,2,
100M664UN,LAF CORNER CHAIR/COVER/LINEN,ZACK,51.0,4.0,52.62,210.48,UnKits,PURPO,,0,0,0,0,0,0,2,
100M665UN,RAF CORNER CHAIR/COVER/LINEN,ZACK,51.0,2.0,54.244290688498715,108.48858137699743,UnKits,PURPO,,0,0,0,0,0,0,2,
100S616UN,LAF CORNER CHAISE/COVER/LINEN,ZACK,,,72.26162975730716,,UnKits,UPH,UPHCH,1,5,1,5,1,3,2,
100S617UN,RAF CORNER CHAISE/COVER/LINEN,ZACK,,,72.25359411102112,,UnKits,UPH,UPHCH,1,4,3,12,1,16,2,
100S646UN,ARMLESS CHAIR/COVER/LINEN,ZACK,51.0,78.0,42.692321335759324,3330.0010641892272,UnKits,UPH,UPHCH,1,3,2,6,1,3,3,5.0
100S664UN,LAF CORNER CHAIR/COVER/LINEN,ZACK,,,51.3046732507682,,UnKits,UPH,UPHCH,1,3,2,6,1,3,2,
100S665UN,RAF CORNER CHAIR/COVER/LINEN,ZACK,,,51.418220090097456,,UnKits,UPH,UPHCH,1,3,2,6,1,3,2,
100S677UN,WEDGE/COVER/LINEN,ZACK,51.0,22.0,51.717964021503256,1137.7952084730716,UnKits,UPH,UPHCH,1,3,2,6,1,3,2,2.0
100S716UN,LAF CORNER CHAISE/COVER/SMOKE,ZACK,,,71.20281467678556,,UnKits,PURPO,,0,0,0,0,0,0,2,
100S717UN,RAF CORNER CHAISE/COVER/SMOKE,ZACK,,,71.20645215625251,,UnKits,PURPO,,0,0,0,0,0,0,2,
100S746UN,ARMLESS CHAIR/COVER/SMOKE,ZACK,,,42.06199335576564,,UnKits,PURPO,,0,0,0,0,0,0,3,
100S764UN,LAF CORNER CHAIR/COVER/SMOKE,ZACK,,,50.52627601509055,,UnKits,PURPO,,0,0,0,0,0,0,2,
100S765UN,RAF CORNER CHAIR/COVER/SMOKE,ZACK,,,50.63304648655988,,UnKits,PURPO,,0,0,0,0,0,0,2,
100S777UN,WEDGE/COVER/SMOKE,ZACK,,,49.61525876468337,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X616UN,LAF CORNER CHAISE/COVER/LINEN,ZACK,,,76.62,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X617UN,RAF CORNER CHAISE/COVER/LINEN,ZACK,,,76.62,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X646UN,ARMLESS CHAIR/COVER/LINEN,ZACK,51.0,3.0,45.28,135.84,UnKits,UPH,UPHCH,1,3,2,6,1,3,3,1.0
100X664UN,LAF CORNER CHAIR/COVER/LINEN,ZACK,,,54.21,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X665UN,RAF CORNER CHAIR/COVER/LINEN,ZACK,,,54.32,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X677UN,WEDGE/COVER/LINEN,ZACK,,,53.57,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X716UN,LAF CORNER CHAISE/COVER/SMOKE,ZACK,,,81.16,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X717UN,RAF CORNER CHAISE/COVER/SMOKE,ZACK,,,81.17,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X746UN,ARMLESS CHAIR/COVER/SMOKE,ZACK,,,46.05,,UnKits,PURPO,,0,0,0,0,0,0,3,
100X764UN,LAF CORNER CHAIR/COVER/SMOKE,ZACK,,,57.02,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X765UN,RAF CORNER CHAIR/COVER/SMOKE,ZACK,,,55.22,,UnKits,PURPO,,0,0,0,0,0,0,2,
100X777UN,WEDGE/COVER/SMOKE,ZACK,,,56.4,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000608UN,OVRSZ ACCENT OTTO/COVER/LINEN,ZACK,51.0,76.0,29.63,2251.88,UnKits,UPH,UPHCH,1,3,2,6,1,3,4,4.0
1000616UN,LAF CORNER CHAISE/COVER/LINEN,ZACK,,,81.93,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000617UN,RAF CORNER CHAISE/COVER/LINEN,ZACK,,,81.92,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000646UN,ARMLESS CHAIR/COVER/LINEN,ZACK,,,48.14,,UnKits,PURPO,,0,0,0,0,0,0,3,
1000664UN,LAF CORNER CHAIR/COVER/LINEN,ZACK,,,57.6,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000665UN,RAF CORNER CHAIR/COVER/LINEN,ZACK,,,57.71,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000677UN,WEDGE/COVER/LINEN,ZACK,,,56.96,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000708UN,OVERSIZED OTTOMAN/COVER/SMOKE,ZACK,,,32.93,,UnKits,PURPO,,0,0,0,0,0,0,4,
1000716UN,LAF CORNER CHAISE/COVER/SMOKE,ZACK,,,81.16,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000717UN,RAF CORNER CHAISE/COVER/SMOKE,ZACK,,,81.17,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000746UN,ARMLESS CHAIR/COVER/SMOKE,ZACK,,,47.66,,UnKits,PURPO,,0,0,0,0,0,0,3,
1000764UN,LAF CORNER CHAIR/COVER/SMOKE,ZACK,,,57.02,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000765UN,RAF CORNER CHAIR/COVER/SMOKE,ZACK,,,57.14,,UnKits,PURPO,,0,0,0,0,0,0,2,
1000777UN,WEDGE/COVER/SMOKE,ZACK,,,56.4,,UnKits,PURPO,,0,0,0,0,0,0,2,
101X425UN,ROCKER RECLINER/COVER/COBBLEST,ZAMK,,,20.69,,UnKits,PURPO,,0,0,0,0,0,0,4,
101X488UN,REC SOFA/COVER/COBBLESTONE,ZAMK,,,43.89,,UnKits,PURPO,,0,0,0,0,0,0,3,
101X494UN,DB REC LOVE/CON/COVER/COBBLEST,ZAMK,,,38.95,,UnKits,PURPO,,0,0,0,0,0,0,4,
1010425UN,ROCKER RECLINER/COVER/COBBLEST,ZAMK,,,20.06,,UnKits,PURPO,,0,0,0,0,0,0,4,
1010477UN,WEDGE/COVER/COBBLESTONE,ZAMK,,,17.791455688938253,,UnKits,UPH,UPHCH,2,4,2,16,1,3,4,
1010488UN,REC SOFA/COVER/COBBLESTONE,ZAMK,,,40.95,,UnKits,PURPO,,0,0,0,0,0,0,3,
1010494MRUN,DBL REC LS WCS/COVER/COBB,ZACK,,,36.231998421779444,,UnKits,PURPO,,0,0,0,0,0,0,5,
1010494UN,DB REC LOVE/CON/COVER/COBBLEST,ZAMK,,,36.25,,UnKits,PURPO,,0,0,0,0,0,0,4,
102M146UN,ARMLESS CHAIR/COVER/WICKER,ZACK,,,31.87020928581732,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
102M164UN,LAF CORNER CHAIR/COVER/WICKER,ZACK,,,45.27166719274018,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
102M165UN,RAF CORNER CHAIR/COVER/WICKER,ZACK,,,38.01390379592424,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
102M177UN,WEDGE/COVER/WICKER,ZACK,,,46.098005972721644,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
102M246UN,ARMLESS CHAIR/COVER/BIRCH,ZACK,,,30.30727394878832,,UnKits,PURPO,,0,0,0,0,0,0,4,
102M264UN,LAF CORNER CHAIR/COVER/BIRCH,ZACK,,,36.46826024331032,,UnKits,PURPO,,0,0,0,0,0,0,4,
102M265UN,RAF CORNER CHAIR/COVER/BIRCH,ZACK,,,36.663954798449396,,UnKits,PURPO,,0,0,0,0,0,0,4,
102M277UN,WEDGE/COVER/BIRCH,ZACK,,,44.19517743464313,,UnKits,PURPO,,0,0,0,0,0,0,4,
102S146UN,ARMLESS CHAIR/COVER/WICKER,ZACK,,,31.448912150927598,,UnKits,UPH,UPHCH,2,4,2,16,1,3,4,
102S164UN,LAF CORNER CHAIR/COVER/WICKER,ZACK,,,37.68841837840994,,UnKits,PURPO,,0,0,0,0,0,0,4,
102S165UN,RAF CORNER CHAIR/COVER/WICKER,ZACK,,,37.68833395939239,,UnKits,PURPO,,0,0,0,0,0,0,4,
102S177UN,WEDGE/COVER/WICKER,ZACK,51.0,4.0,46.651378838692835,186.60551535477134,UnKits,UPH,UPHCH,2,3,2,12,1,3,4,1.0
102S246UN,ARMLESS CHAIR/COVER/BIRCH,ZACK,,,29.85661177890156,,UnKits,UPH,UPHCH,2,4,2,16,1,3,4,
102S264UN,LAF CORNER CHAIR/COVER/BIRCH,ZACK,51.0,8.0,36.235929608751235,289.8874368700099,UnKits,UPH,UPHCH,2,4,2,16,1,3,4,1.0
102S265UN,RAF CORNER CHAIR/COVER/BIRCH,ZACK,,,36.2362263891813,,UnKits,PURPO,,0,0,0,0,0,0,4,
102S277UN,WEDGE/COVER/BIRCH,ZACK,,,43.79861526385796,,UnKits,UPH,UPHCH,2,3,2,12,1,3,4,
102X146UN,ARMLESS CHAIR/COVER/WICKER,ZACK,,,32.45,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X164UN,LAF CORNER CHAIR/COVER/WICKER,ZACK,,,40.15,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X165UN,RAF CORNER CHAIR/COVER/WICKER,ZACK,,,38.93,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X177UN,WEDGE/COVER/WICKER,ZACK,,,47.14,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X246UN,ARMLESS CHAIR/COVER/BIRCH,ZACK,,,30.98,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X264UN,LAF CORNER CHAIR/COVER/BIRCH,ZACK,,,37.44,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X265UN,RAF CORNER CHAIR/COVER/BIRCH,ZACK,,,37.44,,UnKits,PURPO,,0,0,0,0,0,0,4,
102X277UN,WEDGE/COVER/BIRCH,ZACK,,,46.7,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020108MRUN,OVRSZ ACCENT OTTO/COVER/WICKER,ZACK,,,13.587615028060368,,UnKits,PURPO,,0,0,0,0,0,0,6,
1020108UN,OVRSZ ACCENT OTTO/COVER/WICKER,ZACK,,,13.66,,UnKits,PURPO,,0,0,0,0,0,0,6,
1020146UN,ARMLESS CHAIR/COVER/WICKER,ZACK,,,33.41,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020164UN,LAF CORNER CHAIR/COVER/WICKER,ZACK,,,41.44,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020165UN,RAF CORNER CHAIR/COVER/WICKER,ZACK,,,40.18,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020177UN,WEDGE/COVER/WICKER,ZACK,,,48.97,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020208MRUN,OVRSZ ACCENT OTTO/COVER/BIRCH,ZACK,,,12.708971567930163,,UnKits,PURPO,,0,0,0,0,0,0,6,
1020208UN,OVRSZ ACCENT OTTO/COVER/BIRCH,ZACK,,,12.79,,UnKits,PURPO,,0,0,0,0,0,0,6,
1020246UN,ARMLESS CHAIR/COVER/BIRCH,ZACK,,,32.39,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020264UN,LAF CORNER CHAIR/COVER/BIRCH,ZACK,,,39.2,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020265UN,RAF CORNER CHAIR/COVER/BIRCH,ZACK,,,39.2,,UnKits,PURPO,,0,0,0,0,0,0,4,
1020277UN,WEDGE/COVER/BIRCH,ZACK,,,47.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
103S125UN,ROCKER RECLINER/COVER/WALNUT,ZAMK,51.0,132.0,30.60010270097692,4039.213556528953,UnKits,UPH,UPHCH,2,4,2,16,1,3,4,3.0
103S225UN,ROCKER RECLINER/COVER/SADDLE,ZAMK,,,30.684131538399683,,UnKits,PURPO,,0,0,0,0,0,0,4,
103X125UN,ROCKER RECLINER/COVER/WALNUT,ZAMK,,,28.31,,UnKits,UPH,UPHCH,2,7,2,28,1,3,4,
103X225UN,ROCKER RECLINER/COVER/SADDLE,ZAMK,,,28.35,,UnKits,PURPO,,0,0,0,0,0,0,4,
1030125MRUN,ROCKER RECLINER/COVER/WALNUT,ZACK,,,30.0572104951667,,UnKits,PURPO,,0,0,0,0,0,0,10,
1030125UN,ROCKER RECLINER/COVER/WALNUT,ZAMK,,,29.07,,UnKits,PURPO,,0,0,0,0,0,0,4,
1030225MRUN,ROCKER RECLINER/COVER/SADDLE,ZACK,,,29.57979877687907,,UnKits,PURPO,,0,0,0,0,0,0,6,
1030225UN,ROCKER RECLINER/COVER/SADDLE,ZAMK,,,29.16,,UnKits,PURPO,,0,0,0,0,0,0,4,
1030225UNTEST,ROCKER RECLINER/COVER/SADDLE,ZAMK,,,20.417209725633853,,UnKits,PURPO,,0,0,0,0,0,0,4,
1040225UN,ROCKER REC/COVER/CHOCOLATE,ZAMK,,,16.238745425527718,,UnKits,PURPO,,0,0,0,0,0,0,1,
1040325UN,ROCKER RECLINER/COVER/CHARCOAL,ZAMK,,,15.982158059183272,,UnKits,PURPO,,0,0,0,0,0,0,1,
105X118MRUN,SOFA CHAISE/COVER/ALLOY,ZACK,,,36.06628526336556,,UnKits,PURPO,,0,0,0,0,0,0,4,
105X120MRUN,CHAIR/COVER/ALLOY,ZACK,,,14.14874728743342,,UnKits,PURPO,,0,0,0,0,0,0,15,
1050118MRUN,SOFA CHAISE/COVER/ALLOY,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
1050120MRUN,CHAIR/COVER/ALLOY,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
108X129UN,ZERO WALL RECLINER/COVER/MOCHA,ZAMK,51.0,6.0,15.247966876895246,91.48780126137147,UnKits,PURPO,,0,0,0,0,0,0,12,
108X229UN,ZERO WALL RECLINER/COVER/CHOCO,ZAMK,,,15.174735912445453,,UnKits,PURPO,,0,0,0,0,0,0,12,
108X329UN,ZERO WALL RECLINER/COVER/GRAY,ZAMK,,,15.174735912445453,,UnKits,PURPO,,0,0,0,0,0,0,12,
1080129MRUN,ZERO WALL RECLINER/COVER/MOCHA,ZACK,,,14.290787137502466,,UnKits,PURPO,,0,0,0,0,0,0,12,
1080129UN,ZERO WALL RECLINER/COVER/MOCHA,ZAMK,,,13.21,,UnKits,UPH,UPHCH,1,3,4,12,1,16,12,
1080229MRUN,ZERO WALL REC/COVER/CHOCOLATE,ZACK,,,14.263168277766818,,UnKits,PURPO,,0,0,0,0,0,0,12,
1080229UN,ZERO WALL RECLINER/COVER/CHOCO,ZAMK,,,13.16,,UnKits,UPH,UPHCH,2,6,2,24,1,3,12,
1080329MRUN,ZERO WALL RECLINER/COVER/GRAY,ZACK,,,14.263168277766818,,UnKits,PURPO,,0,0,0,0,0,0,12,
1080329UN,ZERO WALL RECLINER/COVER/GRAY,ZAMK,51.0,18.0,13.16,236.88,UnKits,UPH,UPHCH,2,6,2,24,1,3,12,1.0
110X116UN,LAF CORNER CHAISE/COVER/ASH,ZACK,,,36.21777526123653,,UnKits,PURPO,,0,0,0,0,0,0,4,
110X117UN,RAF CORNER CHAISE/COVER/ASH,ZACK,,,35.95559131848648,,UnKits,PURPO,,0,0,0,0,0,0,4,
110X134UN,ARMLESS LOVESEAT/COVER/ASH,ZACK,,,31.456687584209902,,UnKits,PURPO,,0,0,0,0,0,0,4,
110X146UN,ARMLESS CHAIR/COVER/ASH,ZACK,,,12.225122550307358,,UnKits,PURPO,,0,0,0,0,0,0,8,
110X155UN,LAF LOVESEAT/COVER/ASH,ZACK,,,38.97432714003156,,UnKits,PURPO,,0,0,0,0,0,0,4,
110X156UN,RAF LOVESEAT/COVER/ASH,ZACK,,,38.89183779676859,,UnKits,PURPO,,0,0,0,0,0,0,4,
110X177UN,WEDGE/COVER/ASH,ZACK,,,32.21140184918011,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100108MRUN,OVRSZ ACCENT OTTOMAN/COVER/ASH,ZACK,,,9.679458099344643,,UnKits,PURPO,,0,0,0,0,0,0,6,
1100108UN,OVRSZ ACCENT OTTOMAN/COVER/ASH,ZACK,,,10.22,,UnKits,PURPO,,0,0,0,0,0,0,6,
1100116MRUN,LAF CORNER CHAISE/COVER/ASH,ZACK,,,35.587465605485896,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100116UN,LAF CORNER CHAISE/COVER/ASH,ZACK,,,36.56,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100117MRUN,RAF CORNER CHAISE/COVER/ASH,ZACK,,,35.285449675835075,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100117UN,RAF CORNER CHAISE/COVER/ASH,ZACK,,,36.26,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100134MRUN,ARMLESS LOVESEAT/COVER/ASH,ZACK,,,30.790863914886565,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100134UN,ARMLESS LOVESEAT/COVER/ASH,ZACK,,,31.67,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100146MRUN,ARMLESS CHAIR/COVER/ASH,ZACK,,,12.136405740482935,,UnKits,PURPO,,0,0,0,0,0,0,8,
1100146UN,ARMLESS CHAIR/COVER/ASH,ZACK,,,12.48,,UnKits,PURPO,,0,0,0,0,0,0,8,
1100155MRUN,LAF LOVESEAT/COVER/ASH,ZACK,,,38.360965034409155,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100155UN,LAF LOVESEAT/COVER/ASH,ZACK,,,39.38,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100156UN,RAF LOVESEAT/COVER/ASH,ZACK,,,40.54,,UnKits,PURPO,,0,0,0,0,0,0,4,
1100177UN,WEDGE/COVER/ASH,ZACK,,,32.81,,UnKits,PURPO,,0,0,0,0,0,0,4,
114H235MRUN,LOVESEAT/COVER/CHARCOAL,ZACK,,,31.560465575064114,,UnKits,PURPO,,0,0,0,0,0,0,8,
114H235UN,LOVESEAT/COVER/CHARCOAL,ZACK,,,35.69,,UnKits,PURPO,,0,0,0,0,0,0,4,
114H238MRUN,SOFA/COVER/CHARCOAL,ZACK,,,38.0469520615506,,UnKits,PURPO,,0,0,0,0,0,0,4,
114H238UN,SOFA/COVER/CHARCOAL,ZACK,,,42.63,,UnKits,PURPO,,0,0,0,0,0,0,3,
1140217UN,RAF CRNR CHAISE/COVER/CHARCOAL,ZACK,,,38.05,,UnKits,PURPO,,0,0,0,0,0,0,4,
1140235MRUN,LOVESEAT/COVER/CHARCOAL,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
1140235UN,LOVESEAT/COVER/CHARCOAL,ZACK,,,28.873926444223713,,UnKits,PURPO,,0,0,0,0,0,0,4,
1140238MRUN,SOFA/COVER/CHARCOAL,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
1140238UN,SOFA/COVER/CHARCOAL,ZACK,,,33.81563429356638,,UnKits,PURPO,,0,0,0,0,0,0,3,
1140246UN,ARMLESS CHAIR/COVER/CHARCOAL,ZACK,,,12.98,,UnKits,PURPO,,0,0,0,0,0,0,8,
1140248UN,LAF SOFA W/COR WDGE/COVER/CHAR,ZACK,,,49.48,,UnKits,PURPO,,0,0,0,0,0,0,4,
1140249UN,RAF SOFA W/COR WDGE/COVER/CHAR,ZACK,,,49.55,,UnKits,PURPO,,0,0,0,0,0,0,4,
1140255UN,LAF LOVESEAT/COVER/CHARCOAL,ZACK,,,29.14,,UnKits,PURPO,,0,0,0,0,0,0,4,
1140256UN,RAF LOVESEAT/COVER/CHARCOAL,ZACK,,,29.09,,UnKits,PURPO,,0,0,0,0,0,0,4,
1142235UN,LOVESEAT/COVER/CHARCOAL,ZACK,,,35.87,,UnKits,PURPO,,0,0,0,0,0,0,4,
1142238UN,SOFA/COVER/CHARCOAL,ZACK,,,42.61,,UnKits,PURPO,,0,0,0,0,0,0,3,
1170214UN,OTTOMAN/COVER/GRANITE,ZACK,,,27.106541263891497,,UnKits,UPH,UPHCH,2,3,2,12,1,3,6,
1170223UN,CHAIR AND A HALF/COVER/GRANITE,ZACK,,,62.29335884789899,,UnKits,UPH,UPHCH,1,3,2,6,1,3,3,
1170235UN,LOVESEAT/COVER/GRANITE,ZACK,,,88.3817895048333,,UnKits,UPH,UPHCH,2,3,2,12,1,3,2,
1170238UN,SOFA/COVER/GRANITE,ZACK,,,124.23942000394555,,UnKits,UPH,UPHCH,1,3,2,6,1,3,1,
1190208UN,OVRSZ ACCT OTTO/COVER/GUNMETAL,ZACK,,,12.164692904583546,,UnKits,PURPO,,0,0,0,0,0,0,6,
1190246UN,ARMLESS CHAIR/COVER/GUNMETAL,ZACK,,,10.64,,UnKits,PURPO,,0,0,0,0,0,0,4,
1190248UN,LAF SOFA CRNR WDG/COVER/GUNMTL,ZACK,,,44.57,,UnKits,PURPO,,0,0,0,0,0,0,4,
1190249UN,RAF SOFA CRNR WDG/COVER/GUNMTL,ZACK,,,44.57,,UnKits,PURPO,,0,0,0,0,0,0,4,
1190255UN,LAF LOVESEAT/COVER/GUNMETAL,ZACK,,,25.99,,UnKits,PURPO,,0,0,0,0,0,0,4,
1190256UN,RAF LOVESEAT/COVER/GUNMETAL,ZACK,,,25.99,,UnKits,PURPO,,0,0,0,0,0,0,4,
120H020MRUN,CHAIR/COVER/COFFEE,ZACK,,,21.19550207141448,,UnKits,PURPO,,0,0,0,0,0,0,12,
120H020UN,CHAIR/COVER/COFFEE,ZACK,,,22.66,,UnKits,PURPO,,0,0,0,0,0,0,6,
120H035MRUN,LOVESEAT/COVER/COFFEE,ZACK,,,29.84415072006313,,UnKits,PURPO,,0,0,0,0,0,0,10,
120H035UN,LOVESEAT/COVER/COFFEE,ZACK,,,31.82,,UnKits,PURPO,,0,0,0,0,0,0,6,
120H038MRUN,SOFA/COVER/COFFEE,ZACK,,,38.141645294929965,,UnKits,PURPO,,0,0,0,0,0,0,8,
120H038UN,SOFA/COVER/COFFEE,ZACK,,,40.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
120H120UN,CHAIR/COVER/SLATE,ZACK,,,22.66,,UnKits,PURPO,,0,0,0,0,0,0,6,
120H135UN,LOVESEAT/COVER/SLATE,ZACK,,,31.82,,UnKits,PURPO,,0,0,0,0,0,0,6,
120H138UN,SOFA/COVER/SLATE,ZACK,,,40.62,,UnKits,PURPO,,0,0,0,0,0,0,4,
