MIL Unkits Shipped By Daily,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Date,SKUs,Cartons,Qty,Pallet  Qty
2025-03-29 00:00:00,237,3249.9970000000003,17569,257.1346904761905
2025-03-30 00:00:00,221,2386.25,10325,190.7070932539683
2025-03-31 00:00:00,242,4314.559000000002,16623,350.8946746031747
2025-04-01 00:00:00,268,4159.567,16643,321.8769761904763
2025-04-02 00:00:00,298,4736.663,23390,359.8805773809522
2025-04-03 00:00:00,305,4305.319,21631,325.41716071428607
2025-04-04 00:00:00,258,4351.311,17620,333.08049801587316
2025-04-05 00:00:00,255,4127.659,21096,322.7675476190476
2025-04-06 00:00:00,247,2738.229,11153,216.95740079365072
2025-04-07 00:00:00,61,262.831,1105,19.466172619047622
2025-04-08 00:00:00,285,4192.078000000001,22482,335.7967876984121
2025-04-09 00:00:00,333,4239.896000000001,21481,340.13228373015863
2025-04-10 00:00:00,297,4060.4070000000006,20634,299.6575853174604
2025-04-11 00:00:00,301,4291.165999999999,22425,318.4324900793654
2025-04-12 00:00:00,246,3770.872,18669,277.62492460317475
2025-04-13 00:00:00,79,464,1686,34.46378968253969
2025-04-14 00:00:00,295,3106.94,16630,231.6511765873018
2025-04-15 00:00:00,295,5241.376000000002,25628,403.8452182539683
2025-04-16 00:00:00,214,4159.548000000001,17779,339.8832480158731
2025-04-17 00:00:00,266,4737.617000000001,25093,379.1357658730157
2025-04-18 00:00:00,244,4008.118000000001,17264,339.85148214285715
2025-04-19 00:00:00,265,4715.5740000000005,22616,388.58116865079387
2025-04-20 00:00:00,72,551.58,2305,48.69161904761907
2025-04-21 00:00:00,294,4145.05,17249,345.07204067460344
2025-04-22 00:00:00,298,4656.541,24659,386.62971825396824
2025-04-23 00:00:00,306,4500.788,18359,360.2700317460316
2025-04-24 00:00:00,290,4937.571000000001,25838,394.2516230158727
2025-04-25 00:00:00,270,4171.329000000001,17995,329.30930158730155
2025-04-26 00:00:00,253,4451.138000000001,18636,355.3835218253971
2025-04-27 00:00:00,198,2978.5620000000004,12215,243.0655932539684
2025-04-28 00:00:00,272,4711.999999999999,27948,365.6952599206346
2025-04-29 00:00:00,235,3956.1530000000007,20745,307.05500992063514
2025-04-30 00:00:00,72,612,2464,43.58829365079365
