WARE HOUSE,ITEM,KIT/BOX,Weight of full box (Kg),Weight of each kit (Kg),Dimension box,L_INCH,W_INCH,H_INCH,STYLE
MILLENNIUM,2860017UN,4.0,20.696,4.389,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2860034UN,4.0,19.104,3.996,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2860066UN,4.0,32.772,7.158,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,2860067UN,4.0,33.132,7.248,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3380225UN,6.0,19.824,2.524,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,3380287UN,3.0,19.425,5.428,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3380288UN,4.0,25.9,5.428,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,3380294UN,4.0,24.592,5.16,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,3380296UN,4.0,24.592,5.16,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,3380298UN,4.0,13.216,2.524,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,349X708UN,12.0,24.564,1.702,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3490708UN,12.0,20.748,1.384,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3490716UN,4.0,22.94,4.95,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3490717UN,4.0,23.492,5.088,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3490766UN,4.0,23.344,5.051,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3490767UN,4.0,24.0,5.215,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,4130308UN,6.0,8.88,1.166,TELE-UN-37X28.5X6INCH#3,37.0,28.5,6.0,FABRIC
MILLENNIUM,4130334UN,4.0,16.3,3.505,TELE-UN-30X28.5X10INCH#3,30.0,28.5,10.0,FABRIC
MILLENNIUM,4130346UN,4.0,8.844,1.823,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,4130348UN,4.0,33.912,7.553,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4130349UN,4.0,30.34,6.66,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4130375UN,4.0,22.62,4.875,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4130376UN,4.0,22.12,4.75,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,452X008UN,12.0,22.08,1.41,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,452X108UN,12.0,22.536,1.448,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,452X208UN,12.0,22.224,1.422,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,4520008UN,12.0,21.084,1.327,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,4520010UN,4.0,17.724,3.763,TELE-UN-30X28.5X14INCH#3,30.0,28.5,14.0,FABRIC
MILLENNIUM,4520016UN,4.0,19.172,4.013,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520017UN,4.0,19.572,4.113,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520021UN,4.0,11.964,2.206,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,4520025UN,6.0,18.258,2.34,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4520066UN,4.0,19.296,4.044,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520067UN,4.0,19.372,4.063,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520083UN,6.0,25.506,3.471,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4520108UN,12.0,21.54,1.365,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,4520110UN,4.0,17.492,3.705,TELE-UN-30X28.5X14INCH#3,30.0,28.5,14.0,FABRIC
MILLENNIUM,4520116UN,4.0,20.252,4.283,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520117UN,4.0,20.056,4.234,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520121UN,4.0,12.512,2.343,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,4520125UN,6.0,18.258,2.34,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4520166UN,4.0,19.28,4.04,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520167UN,4.0,19.404,4.071,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520183UN,6.0,26.808,3.688,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4520208UN,12.0,21.228,1.339,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,4520210UN,4.0,17.752,3.77,TELE-UN-30X28.5X14INCH#3,30.0,28.5,14.0,FABRIC
MILLENNIUM,4520216UN,4.0,19.612,4.123,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520217UN,4.0,20.28,4.29,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520221UN,4.0,12.072,2.233,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,4520225UN,6.0,18.258,2.34,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,4520266UN,4.0,19.656,4.134,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520267UN,4.0,19.188,4.017,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,4520283UN,6.0,27.828,3.858,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030116UN,6.0,23.934,3.286,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030117UN,6.0,23.934,3.286,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030119UN,4.0,8.208,1.562,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,5030140UN,6.0,18.318,2.35,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030141UN,6.0,18.318,2.35,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030146UN,4.0,8.84,1.72,TELE-UN-30X28.5X8.5INCH#3,30.0,28.5,8.5,FABRIC
MILLENNIUM,5030157UN,4.0,5.936,1.096,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,5030177UN,8.0,29.36,3.207,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030216UN,6.0,23.934,3.286,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030217UN,6.0,23.934,3.286,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030219UN,4.0,8.208,1.562,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,5030240UN,6.0,18.318,2.35,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030241UN,6.0,18.318,2.35,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5030246UN,4.0,8.84,1.72,TELE-UN-30X28.5X8.5INCH#3,30.0,28.5,8.5,FABRIC
MILLENNIUM,5030257UN,4.0,6.344,1.096,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,5030277UN,8.0,29.36,3.207,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5670105UN,4.0,22.856,4.754,TELE-UN-42.5X28.5X14.5INCH#3,42.5,28.5,14.5,FABRIC
MILLENNIUM,5670107UN,4.0,22.74,4.725,TELE-UN-42.5X28.5X14.5INCH#3,42.5,28.5,14.5,FABRIC
MILLENNIUM,5670119UN,8.0,24.224,2.565,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,5670140UN,4.0,18.26,3.675,TELE-UN-42X28.5X12INCH#3,42.0,28.5,12.0,FABRIC
MILLENNIUM,5670141UN,4.0,18.64,3.77,TELE-UN-42X28.5X12INCH#3,42.0,28.5,12.0,FABRIC
MILLENNIUM,5670146UN,6.0,16.224,2.184,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,5670152UN,4.0,21.86,4.575,TELE-UN-45X30X12INCH#3,45.0,30.0,12.0,FABRIC
MILLENNIUM,5670157UN,4.0,6.768,1.202,TELE-UN-30X28.5X8.5INCH#3,30.0,28.5,8.5,FABRIC
MILLENNIUM,5670177UN,4.0,14.98,2.965,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,5670181UN,3.0,24.849,7.096,TELE-UN-45X30X12INCH#3,45.0,30.0,12.0,FABRIC
MILLENNIUM,5670186UN,4.0,26.652,5.738,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,6490208UN,12.0,11.82,0.789,TELE-UN-37X28.5X5 INCH#3,37.0,28.5,5.0,FABRIC
MILLENNIUM,6490216UN,6.0,22.218,2.866,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,6490217UN,6.0,21.846,2.851,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,6490234UN,6.0,22.854,2.858,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,6490266UN,4.0,23.852,4.904,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,6490267UN,4.0,22.1,4.7,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7050808UN,6.0,14.274,1.764,TELE-UN-37X37X8INCH#3,37.0,37.0,8.0,FABRIC
MILLENNIUM,7050816UN,4.0,32.196,7.124,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050817UN,4.0,32.196,7.124,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050825UN,4.0,16.504,3.346,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7050835UN,4.0,28.46,6.19,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050838UN,3.0,27.909,8.07,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7050839UN,3.0,23.829,6.71,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7050866UN,4.0,32.152,7.05,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7050867UN,4.0,32.152,7.05,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7050869UN,4.0,26.94,5.81,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050870UN,4.0,26.94,5.81,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050908UN,6.0,14.274,1.764,TELE-UN-37X37X8INCH#3,37.0,37.0,8.0,FABRIC
MILLENNIUM,7050916UN,4.0,32.196,7.124,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050917UN,4.0,32.196,7.124,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050925UN,4.0,16.5,3.345,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,7050935UN,4.0,28.46,6.19,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050938UN,3.0,27.909,8.07,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7050939UN,3.0,23.829,6.71,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,7050966UN,4.0,32.152,7.05,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7050967UN,4.0,32.152,7.05,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7050969UN,4.0,26.94,5.81,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7050970UN,4.0,26.94,5.81,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,7260008UN,6.0,9.45,1.06,TELE-UN-37X37X12INCH#3,37.0,37.0,12.0,FABRIC
MILLENNIUM,7260016UN,4.0,28.96,6.252,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7260017UN,4.0,28.96,6.252,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7260034UN,6.0,36.51,5.3,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,7260066UN,4.0,43.78,9.77,RSC-UN-37X28.5X24INCH#8,37.0,28.5,24.0,FABRIC
MILLENNIUM,7260067UN,4.0,43.78,9.77,RSC-UN-37X28.5X24INCH#8,37.0,28.5,24.0,FABRIC
MILLENNIUM,730H435UN,4.0,19.912,4.198,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
